# Misclassified BGL Logs
# Total: 316 / 401
# Format: TRUE_LABEL PRED_LABEL CONFIDENCE | LOG_LINE
#================================================================================

TRUE:0 PRED:1 CONF:0.010 | 1120889703 2005.07.08 R05-M0-N2 2005-07-08-23.15.03.798449 R05-M0-N2 NULL DISCOVERY WARNING Node card is not fully functional
TRUE:0 PRED:1 CONF:0.014 | 1118770989 2005.06.14 R21-M1-N4-C:J17-U11 2005-06-14-10.43.09.420211 R21-M1-N4-C:J17-U11 RAS KERNEL FATAL data store interrupt caused by icbi.........0
TRUE:0 PRED:1 CONF:0.014 | 1118771934 2005.06.14 R24-M0-ND-C:J02-U11 2005-06-14-10.58.54.996783 R24-M0-ND-C:J02-U11 RAS KERNEL FATAL program interrupt: fp cr field .............0
TRUE:0 PRED:1 CONF:0.014 | 1119803528 2005.06.26 R05-M0-NE-C:J05-U01 2005-06-26-09.32.08.442047 R05-M0-NE-C:J05-U01 RAS KERNEL INFO data store interrupt caused by icbi.........0
TRUE:0 PRED:1 CONF:0.014 | 1118773807 2005.06.14 R20-M1-N5-C:J13-U01 2005-06-14-11.30.07.879884 R20-M1-N5-C:J13-U01 RAS KERNEL FATAL core configuration register: 0x00002000
TRUE:0 PRED:1 CONF:0.014 | 1122165850 2005.07.23 R17-M0-NF-C:J04-U01 2005-07-23-17.44.10.520225 R17-M0-NF-C:J04-U01 RAS KERNEL INFO 5 floating point alignment exceptions
TRUE:0 PRED:1 CONF:0.014 | 1127264347 2005.09.20 R72-M0-N8-I:J18-U01 2005-09-20-17.59.07.131519 R72-M0-N8-I:J18-U01 RAS APP FATAL ciod: Error loading /home/yates//torus-latency.rts: invalid or missing program image, No such file or directory
TRUE:0 PRED:1 CONF:0.014 | 1122166579 2005.07.23 R14-M0-NF-C:J09-U01 2005-07-23-17.56.19.153654 R14-M0-NF-C:J09-U01 RAS KERNEL INFO 5 floating point alignment exceptions
TRUE:0 PRED:1 CONF:0.014 | 1121904520 2005.07.20 R36-M0-N7-C:J08-U01 2005-07-20-17.08.40.559526 R36-M0-N7-C:J08-U01 RAS KERNEL INFO 8 floating point alignment exceptions
TRUE:0 PRED:1 CONF:0.014 | 1131473805 2005.11.08 R62-M0-NE-C:J09-U01 2005-11-08-10.16.45.386821 R62-M0-NE-C:J09-U01 RAS KERNEL INFO iar 00105e84 dear 024701dc
TRUE:0 PRED:1 CONF:0.014 | 1119803207 2005.06.26 R05-M1-N9-C:J14-U11 2005-06-26-09.26.47.879500 R05-M1-N9-C:J14-U11 RAS KERNEL INFO program interrupt: privileged instruction...0
TRUE:0 PRED:1 CONF:0.014 | 1121900708 2005.07.20 R35-M1-N5-C:J08-U11 2005-07-20-16.05.08.320371 R35-M1-N5-C:J08-U11 RAS KERNEL INFO 8 floating point alignment exceptions
TRUE:0 PRED:1 CONF:0.014 | 1119803805 2005.06.26 R36-M0-N9-C:J12-U01 2005-06-26-09.36.45.237515 R36-M0-N9-C:J12-U01 RAS KERNEL INFO program interrupt: imprecise exception......0
TRUE:0 PRED:1 CONF:0.014 | 1118769562 2005.06.14 R26-M0-N0-C:J04-U11 2005-06-14-10.19.22.998644 R26-M0-N0-C:J04-U11 RAS KERNEL FATAL exception syndrome register: 0x00800000
TRUE:0 PRED:1 CONF:0.014 | 1131408782 2005.11.07 R63-M0-N6-C:J15-U01 2005-11-07-16.13.02.108416 R63-M0-N6-C:J15-U01 RAS KERNEL INFO iar 00105e88 dear 02f6436c
TRUE:0 PRED:1 CONF:0.014 | 1121903856 2005.07.20 R02-M0-N8-C:J12-U01 2005-07-20-16.57.36.030657 R02-M0-N8-C:J12-U01 RAS KERNEL INFO 8 floating point alignment exceptions
TRUE:0 PRED:1 CONF:0.015 | 1118771909 2005.06.14 R24-M1-N5-C:J09-U01 2005-06-14-10.58.29.332156 R24-M1-N5-C:J09-U01 RAS KERNEL FATAL program interrupt: fp cr field .............0
TRUE:0 PRED:1 CONF:0.015 | 1118772070 2005.06.14 R21-M1-N2-C:J10-U11 2005-06-14-11.01.10.339106 R21-M1-N2-C:J10-U11 RAS KERNEL FATAL machine state register: 0x00002000
TRUE:0 PRED:1 CONF:0.015 | 1122165615 2005.07.23 R15-M0-N6-C:J10-U11 2005-07-23-17.40.15.015021 R15-M0-N6-C:J10-U11 RAS KERNEL INFO 5 floating point alignment exceptions
TRUE:0 PRED:1 CONF:0.015 | 1127265034 2005.09.20 R26-M1-N8-I:J18-U01 2005-09-20-18.10.34.811726 R26-M1-N8-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/SWL/performance/MINIBEN//torus-latency.rts: invalid or missing program image, No such file or directory
TRUE:0 PRED:1 CONF:0.015 | 1118771001 2005.06.14 R25-M0-N8-C:J16-U11 2005-06-14-10.43.21.406138 R25-M0-N8-C:J16-U11 RAS KERNEL FATAL data store interrupt caused by icbi.........0
TRUE:0 PRED:1 CONF:0.015 | 1124547186 2005.08.20 R65-M0-NC-I:J18-U01 2005-08-20-07.13.06.997141 R65-M0-NC-I:J18-U01 RAS KERNEL INFO ciod: generated 64 core files for program /bgl/apps/swl-prep/ibm-swl/functional/sppm_chkpt/run/sppm
TRUE:0 PRED:1 CONF:0.015 | 1119803856 2005.06.26 R02-M1-N4-C:J12-U01 2005-06-26-09.37.36.335874 R02-M1-N4-C:J12-U01 RAS KERNEL INFO program interrupt: imprecise exception......0
TRUE:0 PRED:1 CONF:0.015 | 1119806955 2005.06.26 R03-M1-NC-C:J05-U11 2005-06-26-10.29.15.890436 R03-M1-NC-C:J05-U11 RAS KERNEL INFO program interrupt
TRUE:0 PRED:1 CONF:0.015 | 1131632923 2005.11.10 R34-M1-N4-C:J10-U01 2005-11-10-06.28.43.189795 R34-M1-N4-C:J10-U01 RAS KERNEL INFO 2 ddr errors(s) detected and corrected on rank 0, symbol 4, bit 4
TRUE:0 PRED:1 CONF:0.015 | 1121903679 2005.07.20 R32-M0-N3-C:J08-U11 2005-07-20-16.54.39.433528 R32-M0-N3-C:J08-U11 RAS KERNEL INFO 8 floating point alignment exceptions
TRUE:0 PRED:1 CONF:0.015 | 1120216148 2005.07.01 R20-M1-N5-C:J06-U11 2005-07-01-04.09.08.743891 R20-M1-N5-C:J06-U11 RAS KERNEL INFO generating core.1626
TRUE:0 PRED:1 CONF:0.015 | 1131060268 2005.11.03 R67-M0-N1-C:J11-U01 2005-11-03-15.24.28.446530 R67-M0-N1-C:J11-U01 RAS KERNEL INFO iar 00106580 dear 02494bcc
TRUE:0 PRED:1 CONF:0.015 | 1121900851 2005.07.20 R32-M1-N5-C:J06-U01 2005-07-20-16.07.31.195707 R32-M1-N5-C:J06-U01 RAS KERNEL INFO 8 floating point alignment exceptions
TRUE:0 PRED:1 CONF:0.015 | 1133700386 2005.12.04 R21-M1-N4-C:J10-U01 2005-12-04-04.46.26.869771 R21-M1-N4-C:J10-U01 RAS KERNEL INFO CE sym 12, at 0x18e33e80, mask 0x04
TRUE:0 PRED:1 CONF:0.015 | 1132585230 2005.11.21 R26-M0-N0-I:J18-U11 2005-11-21-07.00.30.773283 R26-M0-N0-I:J18-U11 RAS KERNEL INFO MACHINE CHECK DCR read timeout (mc=e08x iar 0x00000000 lr 0xc00045a4)
TRUE:0 PRED:1 CONF:0.015 | 1122164887 2005.07.23 R17-M1-N9-C:J05-U01 2005-07-23-17.28.07.326889 R17-M1-N9-C:J05-U01 RAS KERNEL INFO 15 floating point alignment exceptions
TRUE:0 PRED:1 CONF:0.015 | 1121901046 2005.07.20 R00-M1-NF-C:J04-U11 2005-07-20-16.10.46.120814 R00-M1-NF-C:J04-U11 RAS KERNEL INFO 8 floating point alignment exceptions
TRUE:0 PRED:1 CONF:0.015 | 1122139731 2005.07.23 R01-M1-N8-C:J13-U11 2005-07-23-10.28.51.576312 R01-M1-N8-C:J13-U11 RAS KERNEL INFO 15 floating point alignment exceptions
TRUE:0 PRED:1 CONF:0.016 | 1133448656 2005.12.01 R27-M1-NA-C:J05-U11 2005-12-01-06.50.56.045860 R27-M1-NA-C:J05-U11 RAS KERNEL INFO 10744 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.
TRUE:0 PRED:1 CONF:0.016 | 1131473377 2005.11.08 R62-M0-NA-C:J04-U11 2005-11-08-10.09.37.180669 R62-M0-NA-C:J04-U11 RAS KERNEL INFO iar 001061e8 dear 0247015c
TRUE:0 PRED:1 CONF:0.016 | 1121901110 2005.07.20 R15-M0-N2-C:J04-U11 2005-07-20-16.11.50.364727 R15-M0-N2-C:J04-U11 RAS KERNEL INFO 8 floating point alignment exceptions
TRUE:0 PRED:1 CONF:0.016 | 1133455288 2005.12.01 R41-M1-NF-C:J04-U01 2005-12-01-08.41.28.414439 R41-M1-NF-C:J04-U01 RAS KERNEL INFO 10640 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.
TRUE:0 PRED:1 CONF:0.016 | 1121901193 2005.07.20 R02-M0-NF-C:J10-U11 2005-07-20-16.13.13.815662 R02-M0-NF-C:J10-U11 RAS KERNEL INFO 8 floating point alignment exceptions
TRUE:0 PRED:1 CONF:0.016 | 1131123589 2005.11.04 R62-M0-N6-C:J03-U01 2005-11-04-08.59.49.668674 R62-M0-N6-C:J03-U01 RAS KERNEL INFO iar 001061fc dear 02f6676c
TRUE:0 PRED:1 CONF:0.016 | 1120148578 2005.06.30 R17-M0-NE-C:J09-U01 2005-06-30-09.22.58.210658 R17-M0-NE-C:J09-U01 RAS KERNEL INFO generating core.4246
TRUE:0 PRED:1 CONF:0.016 | 1127464994 2005.09.23 R35-M1-NE-C:J09-U01 2005-09-23-01.43.14.910997 R35-M1-NE-C:J09-U01 RAS KERNEL INFO CE sym 26, at 0x022c3fc0, mask 0x40
TRUE:0 PRED:1 CONF:0.016 | 1131128083 2005.11.04 R62-M0-N4-C:J14-U01 2005-11-04-10.14.43.761466 R62-M0-N4-C:J14-U01 RAS KERNEL INFO iar 00105fd4 dear 0245a09c
TRUE:0 PRED:1 CONF:0.016 | 1121256780 2005.07.13 R23-M0-N7-C:J02-U11 2005-07-13-05.13.00.634737 R23-M0-N7-C:J02-U11 RAS KERNEL INFO generating core.18363
TRUE:0 PRED:1 CONF:0.016 | 1131127588 2005.11.04 R62-M0-N4-C:J16-U11 2005-11-04-10.06.28.496633 R62-M0-N4-C:J16-U11 RAS KERNEL INFO iar 00106168 dear 0245b64c
TRUE:0 PRED:1 CONF:0.016 | 1133455631 2005.12.01 R24-M0-N5-C:J03-U11 2005-12-01-08.47.11.934066 R24-M0-N5-C:J03-U11 RAS KERNEL INFO 10730 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.
TRUE:0 PRED:1 CONF:0.016 | 1118773941 2005.06.14 R20-M1-NA-C:J04-U01 2005-06-14-11.32.21.174785 R20-M1-NA-C:J04-U01 RAS KERNEL FATAL disable store gathering..................0
TRUE:0 PRED:1 CONF:0.016 | 1118771875 2005.06.14 R20-M1-NB-C:J11-U11 2005-06-14-10.57.55.166387 R20-M1-NB-C:J11-U11 RAS KERNEL FATAL program interrupt: fp cr field .............0
TRUE:0 PRED:1 CONF:0.016 | 1121006900 2005.07.10 R24-M1-N6-C:J05-U01 2005-07-10-07.48.20.756795 R24-M1-N6-C:J05-U01 RAS KERNEL INFO generating core.16623
TRUE:0 PRED:1 CONF:0.017 | 1120932589 2005.07.09 R24-M1-N1-C:J12-U01 2005-07-09-11.09.49.772584 R24-M1-N1-C:J12-U01 RAS KERNEL INFO generating core.6553
TRUE:0 PRED:1 CONF:0.017 | 1133448310 2005.12.01 R76-M1-NC-C:J16-U01 2005-12-01-06.45.10.211281 R76-M1-NC-C:J16-U01 RAS KERNEL INFO 10644 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.
TRUE:0 PRED:1 CONF:0.017 | 1135602839 2005.12.26 R61-M0-N3-C:J11-U11 2005-12-26-05.13.59.265193 R61-M0-N3-C:J11-U11 RAS KERNEL FATAL Machine State Register: 0x0002f900
TRUE:0 PRED:1 CONF:0.017 | 1118774042 2005.06.14 R25-M1-N8-C:J03-U11 2005-06-14-11.34.02.588297 R25-M1-N8-C:J03-U11 RAS KERNEL FATAL disable store gathering..................0
TRUE:0 PRED:1 CONF:0.017 | 1130770293 2005.10.31 R74-M1-NC-C:J15-U11 2005-10-31-06.51.33.260350 R74-M1-NC-C:J15-U11 RAS KERNEL INFO 4 ddr errors(s) detected and corrected on rank 0, symbol 24, bit 1
TRUE:0 PRED:1 CONF:0.017 | 1122143012 2005.07.23 R14-M1-N3-C:J04-U01 2005-07-23-11.23.32.715770 R14-M1-N3-C:J04-U01 RAS KERNEL INFO generating core.9315
TRUE:0 PRED:1 CONF:0.017 | 1125082191 2005.08.26 R62-M1-NF-C:J09-U11 2005-08-26-11.49.51.360139 R62-M1-NF-C:J09-U11 RAS KERNEL INFO iar 003a9108 dear 00c07348
TRUE:0 PRED:1 CONF:0.017 | 1117985401 2005.06.05 R34-M1-NE-C:J02-U01 2005-06-05-08.30.01.873693 R34-M1-NE-C:J02-U01 RAS KERNEL INFO generating core.6471
TRUE:0 PRED:1 CONF:0.017 | 1125084030 2005.08.26 R67-M1-NB-C:J10-U11 2005-08-26-12.20.30.217174 R67-M1-NB-C:J10-U11 RAS KERNEL INFO iar 003a9260 dear 0128f2f8
TRUE:0 PRED:1 CONF:0.017 | 1133454582 2005.12.01 R14-M1-NA-C:J11-U11 2005-12-01-08.29.42.047463 R14-M1-NA-C:J11-U11 RAS KERNEL INFO 10738 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.
TRUE:0 PRED:1 CONF:0.017 | 1120216621 2005.07.01 R23-M1-NC-C:J14-U01 2005-07-01-04.17.01.697115 R23-M1-NC-C:J14-U01 RAS KERNEL INFO generating core.6028
TRUE:0 PRED:1 CONF:0.017 | 1133448086 2005.12.01 R37-M1-NE-C:J04-U11 2005-12-01-06.41.26.523789 R37-M1-NE-C:J04-U11 RAS KERNEL INFO 10686 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.
TRUE:0 PRED:1 CONF:0.017 | 1121900682 2005.07.20 R30-M1-N9-C:J14-U11 2005-07-20-16.04.42.418104 R30-M1-N9-C:J14-U11 RAS KERNEL INFO 8 floating point alignment exceptions
TRUE:0 PRED:1 CONF:0.017 | 1120351622 2005.07.02 R05-M0-NF-C:J09-U11 2005-07-02-17.47.02.835483 R05-M0-NF-C:J09-U11 RAS KERNEL INFO generating core.1114
TRUE:0 PRED:1 CONF:0.017 | 1132586440 2005.11.21 R26-M0-N0-I:J18-U11 2005-11-21-07.20.40.564558 R26-M0-N0-I:J18-U11 RAS KERNEL INFO MACHINE CHECK DCR read timeout (mc=e08x iar 0x00000000 lr 0xc00045a4)
TRUE:0 PRED:1 CONF:0.017 | 1119166494 2005.06.19 R01-M1-N4-C:J07-U01 2005-06-19-00.34.54.479358 R01-M1-N4-C:J07-U01 RAS KERNEL INFO generating core.2486
TRUE:0 PRED:1 CONF:0.017 | 1133913870 2005.12.06 R01-M0-N0-C:J04-U01 2005-12-06-16.04.30.188673 R01-M0-N0-C:J04-U01 RAS KERNEL INFO critical input interrupt (unit=0x0b bit=0x17): warning for tree C1 wire, suppressing further interrupts of same type
TRUE:0 PRED:1 CONF:0.017 | 1133448052 2005.12.01 R33-M1-N7-C:J12-U01 2005-12-01-06.40.52.287178 R33-M1-N7-C:J12-U01 RAS KERNEL INFO 10674 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.
TRUE:0 PRED:1 CONF:0.017 | 1120216240 2005.07.01 R20-M1-N2-C:J17-U01 2005-07-01-04.10.40.232817 R20-M1-N2-C:J17-U01 RAS KERNEL INFO generating core.18540
TRUE:0 PRED:1 CONF:0.017 | 1118771085 2005.06.14 R27-M1-ND-C:J09-U01 2005-06-14-10.44.45.851799 R27-M1-ND-C:J09-U01 RAS KERNEL FATAL machine check enable..............0
TRUE:0 PRED:1 CONF:0.017 | 1122244714 2005.07.24 R36-M1-N9-C:J06-U01 2005-07-24-15.38.34.839211 R36-M1-N9-C:J06-U01 RAS KERNEL INFO CE sym 25, at 0x155e28e0, mask 0x08
TRUE:0 PRED:1 CONF:0.017 | 1120469475 2005.07.04 R33-M1-N7-C:J15-U01 2005-07-04-02.31.15.977001 R33-M1-N7-C:J15-U01 RAS KERNEL INFO generating core.25568
TRUE:0 PRED:1 CONF:0.017 | 1132584963 2005.11.21 R26-M0-N0-I:J18-U11 2005-11-21-06.56.03.369673 R26-M0-N0-I:J18-U11 RAS KERNEL INFO MACHINE CHECK DCR read timeout (mc=e08x iar 0x00000000 lr 0xc00045a4)
TRUE:0 PRED:1 CONF:0.017 | 1120447005 2005.07.03 R26-M0-NA-C:J08-U11 2005-07-03-20.16.45.820915 R26-M0-NA-C:J08-U11 RAS KERNEL INFO generating core.31006
TRUE:0 PRED:1 CONF:0.017 | 1131147227 2005.11.04 R63-M0-N1-C:J05-U11 2005-11-04-15.33.47.360607 R63-M0-N1-C:J05-U11 RAS KERNEL INFO iar 00106570 dear 0245a5bc
TRUE:0 PRED:1 CONF:0.017 | 1125084029 2005.08.26 R67-M1-NB-C:J11-U11 2005-08-26-12.20.29.691318 R67-M1-NB-C:J11-U11 RAS KERNEL INFO iar 003a9260 dear 012924f8
TRUE:0 PRED:1 CONF:0.017 | 1120934747 2005.07.09 R12-M0-N3-C:J02-U01 2005-07-09-11.45.47.078028 R12-M0-N3-C:J02-U01 RAS KERNEL INFO generating core.30603
TRUE:0 PRED:1 CONF:0.017 | 1122168668 2005.07.23 R14-M0-N1-C:J12-U11 2005-07-23-18.31.08.281027 R14-M0-N1-C:J12-U11 RAS KERNEL INFO 1005 floating point alignment exceptions
TRUE:0 PRED:1 CONF:0.017 | 1120970946 2005.07.09 R01-M1-N2-C:J08-U11 2005-07-09-21.49.06.101225 R01-M1-N2-C:J08-U11 RAS KERNEL INFO generating core.2606
TRUE:0 PRED:1 CONF:0.017 | 1131590868 2005.11.09 R63-M0-N1-C:J07-U01 2005-11-09-18.47.48.543958 R63-M0-N1-C:J07-U01 RAS KERNEL INFO iar 00113898 dear 0fee9c4c
TRUE:0 PRED:1 CONF:0.017 | 1131060284 2005.11.03 R66-M0-NA-C:J03-U11 2005-11-03-15.24.44.675679 R66-M0-NA-C:J03-U11 RAS KERNEL INFO iar 00106534 dear 02494c0c
TRUE:0 PRED:1 CONF:0.017 | 1124741118 2005.08.22 R21-M1-NC-I:J18-U01 2005-08-22-13.05.18.840938 R21-M1-NC-I:J18-U01 RAS KERNEL INFO ciod: generated 128 core files for program /home/germann2/BGL-demo/SPaSM_mpi
TRUE:0 PRED:1 CONF:0.017 | 1133455467 2005.12.01 R40-M1-NE-C:J10-U11 2005-12-01-08.44.27.738774 R40-M1-NE-C:J10-U11 RAS KERNEL INFO 10676 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.
TRUE:0 PRED:1 CONF:0.017 | 1124394255 2005.08.18 R02-M0-N4-I:J18-U11 2005-08-18-12.44.15.155220 R02-M0-N4-I:J18-U11 RAS KERNEL INFO ciod: generated 64 core files for program /bgl/apps/swl-prep/ibm-swl/functional/sppm_chkpt/run/sppm
TRUE:0 PRED:1 CONF:0.017 | 1133455648 2005.12.01 R23-M0-N2-C:J09-U11 2005-12-01-08.47.28.894064 R23-M0-N2-C:J09-U11 RAS KERNEL INFO 10736 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.
TRUE:0 PRED:1 CONF:0.017 | 1119381883 2005.06.21 R05-M1-N8-C:J13-U01 2005-06-21-12.24.43.265881 R05-M1-N8-C:J13-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 17, bit 1
TRUE:0 PRED:1 CONF:0.017 | 1124611136 2005.08.21 R11-M1-N2-C:J12-U01 2005-08-21-00.58.56.344729 R11-M1-N2-C:J12-U01 RAS KERNEL INFO CE sym 3, at 0x0b19b8a0, mask 0x08
TRUE:0 PRED:1 CONF:0.017 | 1122144024 2005.07.23 R24-M1-N2-C:J02-U01 2005-07-23-11.40.24.966850 R24-M1-N2-C:J02-U01 RAS KERNEL INFO generating core.2767
TRUE:0 PRED:1 CONF:0.018 | 1133306285 2005.11.29 R60-M0-N4-I:J18-U01 2005-11-29-15.18.05.050463 R60-M0-N4-I:J18-U01 RAS KERNEL INFO ciod: Received signal 15, code=0, errno=0, address=0x000001f2
TRUE:0 PRED:1 CONF:0.018 | 1125083240 2005.08.26 R61-M0-N8-C:J05-U01 2005-08-26-12.07.20.308532 R61-M0-N8-C:J05-U01 RAS KERNEL INFO 1547520 double-hummer alignment exceptions
TRUE:0 PRED:1 CONF:0.018 | 1120216479 2005.07.01 R23-M1-NE-C:J13-U01 2005-07-01-04.14.39.846764 R23-M1-NE-C:J13-U01 RAS KERNEL INFO generating core.4525
TRUE:0 PRED:1 CONF:0.018 | 1120940044 2005.07.09 R24-M1-N1-C:J14-U01 2005-07-09-13.14.04.443048 R24-M1-N1-C:J14-U01 RAS KERNEL INFO generating core.40344
TRUE:0 PRED:1 CONF:0.018 | 1131059594 2005.11.03 R66-M0-N4-C:J02-U01 2005-11-03-15.13.14.342761 R66-M0-N4-C:J02-U01 RAS KERNEL INFO iar 001061dc dear 0244c28c
TRUE:0 PRED:1 CONF:0.018 | 1131060122 2005.11.03 R67-M1-NA-C:J13-U01 2005-11-03-15.22.02.358932 R67-M1-NA-C:J13-U01 RAS KERNEL INFO iar 00106568 dear 02494bbc
TRUE:0 PRED:1 CONF:0.018 | 1117991046 2005.06.05 R30-M0-N0-C:J17-U01 2005-06-05-10.04.06.326828 R30-M0-N0-C:J17-U01 RAS KERNEL INFO generating core.1588
TRUE:0 PRED:1 CONF:0.018 | 1133448588 2005.12.01 R46-M1-N5-C:J16-U01 2005-12-01-06.49.48.883198 R46-M1-N5-C:J16-U01 RAS KERNEL INFO 10765 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.
TRUE:0 PRED:1 CONF:0.018 | 1119726549 2005.06.25 R01-M1-NB-C:J14-U01 2005-06-25-12.09.09.759272 R01-M1-NB-C:J14-U01 RAS KERNEL INFO generating core.10752
TRUE:0 PRED:1 CONF:0.018 | 1131131553 2005.11.04 R63-M0-NE-C:J11-U11 2005-11-04-11.12.33.858917 R63-M0-NE-C:J11-U11 RAS KERNEL INFO iar 001069a8 dear 02f7bd7c
TRUE:0 PRED:1 CONF:0.018 | 1120091427 2005.06.29 R05-M1-N3-C:J03-U11 2005-06-29-17.30.27.216695 R05-M1-N3-C:J03-U11 RAS KERNEL INFO generating core.1786
TRUE:0 PRED:1 CONF:0.018 | 1120917279 2005.07.09 R16-M1-N2-C:J15-U01 2005-07-09-06.54.39.086324 R16-M1-N2-C:J15-U01 RAS KERNEL INFO generating core.9652
TRUE:0 PRED:1 CONF:0.018 | 1127456570 2005.09.22 R57-M0-NB-C:J07-U11 2005-09-22-23.22.50.037439 R57-M0-NB-C:J07-U11 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 35, bit 1
TRUE:0 PRED:1 CONF:0.018 | 1122165293 2005.07.23 R12-M0-NC-C:J05-U01 2005-07-23-17.34.53.711297 R12-M0-NC-C:J05-U01 RAS KERNEL INFO generating core.15063
TRUE:0 PRED:1 CONF:0.018 | 1133455058 2005.12.01 R53-M1-N9-C:J11-U11 2005-12-01-08.37.38.478575 R53-M1-N9-C:J11-U11 RAS KERNEL INFO 10722 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.
