TRUE:0 PRED:1 | 1121310909 2005.07.13 R33-M1-ND-C:J05-U11 2005-07-13-20.15.09.106661 R33-M1-ND-C:J05-U11 RAS KERNEL INFO generating core.9651
TRUE:0 PRED:1 | 1133630999 2005.12.03 R10-M1-N2 2005-12-03-09.29.59.645290 R10-M1-N2 NULL HARDWARE WARNING PrepareForService shutting down Node card(mLctn(R10-M1-N2), mCardSernum(203231503833343000000000594c31304b34323934303257), mLp(FF:F2:9F:16:E0:DA:00:0D:60:E9:1F:25), mIp(10.1.1.164), mType(4)) as part of Service Action 648
TRUE:0 PRED:1 | 1121311141 2005.07.13 R25-M1-N6-C:J07-U11 2005-07-13-20.19.01.767232 R25-M1-N6-C:J07-U11 RAS KERNEL INFO generating core.4862
TRUE:0 PRED:1 | 1121312396 2005.07.13 R21-M1-N0-C:J15-U01 2005-07-13-20.39.56.708943 R21-M1-N0-C:J15-U01 RAS KERNEL INFO generating core.24172
TRUE:0 PRED:1 | 1126969026 2005.09.17 UNKNOWN_LOCATION 2005-09-17-07.57.06.422022 UNKNOWN_LOCATION NULL DISCOVERY INFO Ido chip status changed: FF:F2:9F:15:7B:E0:00:0D:60:EA:84:1F ip=10.7.0.130 v=13 t=1 status=M Sat Sep 17 07:49:04 PDT 2005
TRUE:0 PRED:1 | 1133409779 2005.11.30 R13-M1-NC-I:J18-U01 2005-11-30-20.02.59.033978 R13-M1-NC-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(/g/g0/spelce1/Linpack_SWL) failed: No such file or directory
TRUE:0 PRED:1 | 1118769450 2005.06.14 R26-M0-N9-C:J12-U01 2005-06-14-10.17.30.392758 R26-M0-N9-C:J12-U01 RAS KERNEL FATAL data address: 0x00000002
TRUE:0 PRED:1 | 1118773839 2005.06.14 R21-M0-ND-C:J17-U11 2005-06-14-11.30.39.961375 R21-M0-ND-C:J17-U11 RAS KERNEL FATAL core configuration register: 0x00002000
TRUE:0 PRED:1 | 1124225022 2005.08.16 R06-M0-NB-C:J16-U01 2005-08-16-13.43.42.931133 R06-M0-NB-C:J16-U01 RAS KERNEL INFO CE sym 22, at 0x009c14e0, mask 0x20
TRUE:0 PRED:1 | 1131692649 2005.11.10 R63-M0-N3-C:J14-U11 2005-11-10-23.04.09.760063 R63-M0-N3-C:J14-U11 RAS KERNEL INFO iar 00106298 dear 02f7a18c
TRUE:0 PRED:1 | 1129552305 2005.10.17 R02-M0-N4-C:J04-U11 2005-10-17-05.31.45.435674 R02-M0-N4-C:J04-U11 RAS KERNEL INFO data cache search parity error detected. attempting to correct
TRUE:0 PRED:1 | 1121172258 2005.07.12 R31-M0-NA-C:J03-U11 2005-07-12-05.44.18.854186 R31-M0-NA-C:J03-U11 RAS KERNEL INFO generating core.6711
TRUE:0 PRED:1 | 1121903795 2005.07.20 R06-M0-N7-C:J10-U11 2005-07-20-16.56.35.232612 R06-M0-N7-C:J10-U11 RAS KERNEL INFO 8 floating point alignment exceptions
TRUE:0 PRED:1 | 1133638373 2005.12.03 R56-M0-NA-C:J15-U11 2005-12-03-11.32.53.165837 R56-M0-NA-C:J15-U11 RAS KERNEL INFO Kernel detected 35591540 integer alignment exceptions (35591533) iar 0x0023f108, dear 0x1feaa260 (35591534) iar 0x00265564, dear 0x1feaa1c0 (35591535) iar 0x00265574, dear 0x1feaa1e0 (35591536) iar 0x00265578, dear 0x1feaa200 (35591537) iar 0x00265588, dear 0x1feaa220 (35591538) iar 0x0026558c, dear 0x1feaa240 (35591539) iar 0x00265594, dear 0x1feaa260 (35591540) iar 0x00265598, dear 0x1feaa280
TRUE:0 PRED:1 | 1125219517 2005.08.28 R77-M1-NF-C:J02-U11 2005-08-28-01.58.37.175646 R77-M1-NF-C:J02-U11 RAS KERNEL INFO 156055738 double-hummer alignment exceptions
TRUE:0 PRED:1 | 1119806955 2005.06.26 R03-M1-NC-C:J05-U11 2005-06-26-10.29.15.890436 R03-M1-NC-C:J05-U11 RAS KERNEL INFO program interrupt
TRUE:0 PRED:1 | 1121495594 2005.07.15 R34-M0-N7-C:J13-U01 2005-07-15-23.33.14.550781 R34-M0-N7-C:J13-U01 RAS KERNEL INFO generating core.465
TRUE:0 PRED:1 | 1127960557 2005.09.28 R12-M1-N4-I:J18-U01 2005-09-28-19.22.37.311035 R12-M1-N4-I:J18-U01 RAS KERNEL INFO ciod: generated 64 core files for program /home/spelce1/HPCC_IBM/TomAndJeff/bin/tested_copro/tested_copro.rts
TRUE:0 PRED:1 | 1121442124 2005.07.15 R04-M0-NE-C:J17-U01 2005-07-15-08.42.04.042901 R04-M0-NE-C:J17-U01 RAS KERNEL INFO generating core.84
TRUE:0 PRED:1 | 1121172833 2005.07.12 R17-M0-NF-C:J10-U11 2005-07-12-05.53.53.558095 R17-M0-NF-C:J10-U11 RAS KERNEL INFO generating core.4489
TRUE:0 PRED:1 | 1121256538 2005.07.13 R31-M0-N1-C:J09-U01 2005-07-13-05.08.58.429347 R31-M0-N1-C:J09-U01 RAS KERNEL INFO generating core.47314
TRUE:0 PRED:1 | 1133919747 2005.12.06 R03-M0-N7-C:J07-U01 2005-12-06-17.42.27.383145 R03-M0-N7-C:J07-U01 RAS KERNEL FATAL size of scratchpad portion of L3.........0 (0M)
TRUE:0 PRED:1 | 1128170317 2005.10.01 R73-M0-N4-I:J18-U11 2005-10-01-05.38.37.246285 R73-M0-N4-I:J18-U11 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/Gunnels/VNM64/vnm.rts: invalid or missing program image, Permission denied
TRUE:0 PRED:1 | 1125084639 2005.08.26 R65-M1-NC-C:J09-U01 2005-08-26-12.30.39.328425 R65-M1-NC-C:J09-U01 RAS KERNEL INFO iar 003a9260 dear 00f29b68
TRUE:0 PRED:1 | 1118768111 2005.06.14 R20-M1-N7-C:J16-U01 2005-06-14-09.55.11.455484 R20-M1-N7-C:J16-U01 RAS KERNEL FATAL data address: 0x00000002
TRUE:0 PRED:1 | 1121707209 2005.07.18 R30-M1-NE-C:J02-U11 2005-07-18-10.20.09.218913 R30-M1-NE-C:J02-U11 RAS KERNEL INFO generating core.29207
TRUE:0 PRED:1 | 1124722015 2005.08.22 R24-M1-N4-I:J18-U11 2005-08-22-07.46.55.044922 R24-M1-N4-I:J18-U11 RAS APP FATAL ciod: LOGIN chdir(/home/germann2/SPaSM_static) failed: No such file or directory
TRUE:0 PRED:1 | 1118766139 2005.06.14 R07-M0-NC-C:J10-U01 2005-06-14-09.22.19.720208 R07-M0-NC-C:J10-U01 RAS KERNEL FATAL instruction address: 0x00004ed8
TRUE:0 PRED:1 | 1120908821 2005.07.09 R20-M0-N8-I:J18-U01 2005-07-09-04.33.41.091472 R20-M0-N8-I:J18-U01 RAS KERNEL INFO ciod: duplicate canonical-rank 31 to logical-rank 0 mapping at line 3 of node map file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-sweep/sweep.map
TRUE:0 PRED:1 | 1123110830 2005.08.03 NULL 2005-08-03-16.13.50.570973 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)
TRUE:0 PRED:1 | 1127264347 2005.09.20 R72-M0-N8-I:J18-U01 2005-09-20-17.59.07.131519 R72-M0-N8-I:J18-U01 RAS APP FATAL ciod: Error loading /home/yates//torus-latency.rts: invalid or missing program image, No such file or directory
TRUE:0 PRED:1 | 1120267083 2005.07.01 R33-M0-N8-C:J10-U11 2005-07-01-18.18.03.046965 R33-M0-N8-C:J10-U11 RAS KERNEL INFO 1146800 double-hummer alignment exceptions
TRUE:0 PRED:1 | 1125082080 2005.08.26 R63-M1-NF-C:J03-U11 2005-08-26-11.48.00.152812 R63-M1-NF-C:J03-U11 RAS KERNEL INFO iar 003a90dc dear 00b35148
TRUE:0 PRED:1 | 1128458085 2005.10.04 R23-M0-N8-C:J15-U11 2005-10-04-13.34.45.062257 R23-M0-N8-C:J15-U11 RAS KERNEL INFO CE sym 6, at 0x0148b640, mask 0x10
TRUE:0 PRED:1 | 1121312220 2005.07.13 R23-M1-NF-C:J12-U11 2005-07-13-20.37.00.827496 R23-M1-NF-C:J12-U11 RAS KERNEL INFO generating core.4505
TRUE:0 PRED:1 | 1124394179 2005.08.18 R30-M0-N0-I:J18-U01 2005-08-18-12.42.59.378202 R30-M0-N0-I:J18-U01 RAS KERNEL INFO ciod: generated 64 core files for program /bgl/apps/swl-prep/ibm-swl/functional/sppm_chkpt/run/sppm
TRUE:0 PRED:1 | 1129208349 2005.10.13 R73-M0-NC-I:J18-U11 2005-10-13-05.59.09.874956 R73-M0-NC-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/MINIBEN/MB_254_051007/torus-latency.rts: invalid or missing program image, No such file or directory
TRUE:0 PRED:1 | 1121252899 2005.07.13 R23-M0-N3-C:J12-U11 2005-07-13-04.08.19.327373 R23-M0-N3-C:J12-U11 RAS KERNEL INFO 112481672 double-hummer alignment exceptions
TRUE:0 PRED:1 | 1121308707 2005.07.13 R35-M1-NE-C:J09-U11 2005-07-13-19.38.27.805883 R35-M1-NE-C:J09-U11 RAS KERNEL INFO generating core.8374
TRUE:0 PRED:1 | 1118771928 2005.06.14 R27-M1-N4-C:J05-U11 2005-06-14-10.58.48.336960 R27-M1-N4-C:J05-U11 RAS KERNEL FATAL guaranteed data cache block touch........1
TRUE:0 PRED:1 | 1121906028 2005.07.20 R36-M0-NE-C:J17-U01 2005-07-20-17.33.48.094973 R36-M0-NE-C:J17-U01 RAS KERNEL INFO 8 floating point alignment exceptions
TRUE:0 PRED:1 | 1126587645 2005.09.12 R63-M1-NC-C:J06-U01 2005-09-12-22.00.45.953966 R63-M1-NC-C:J06-U01 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
TRUE:0 PRED:1 | 1125223673 2005.08.28 R40-M0-N1-C:J16-U01 2005-08-28-03.07.53.456194 R40-M0-N1-C:J16-U01 RAS KERNEL INFO iar 00149ee0 dear 009a2788
TRUE:0 PRED:1 | 1134161388 2005.12.09 R07-M0-N8-I:J18-U11 2005-12-09-12.49.48.361835 R07-M0-N8-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/SWL/stability/HPL/WORK/1501./hpl_DD: invalid or missing program image, No such file or directory
TRUE:0 PRED:1 | 1125221429 2005.08.28 R55-M0-N2-C:J08-U01 2005-08-28-02.30.29.169747 R55-M0-N2-C:J08-U01 RAS KERNEL INFO 23768676 double-hummer alignment exceptions
TRUE:0 PRED:1 | 1127264397 2005.09.20 R34-M1-N8-I:J18-U01 2005-09-20-17.59.57.105133 R34-M1-N8-I:J18-U01 RAS APP FATAL ciod: Error loading /home/yates//torus-latency.rts: invalid or missing program image, No such file or directory
TRUE:0 PRED:1 | 1125084580 2005.08.26 R67-M1-N1-C:J05-U11 2005-08-26-12.29.40.731213 R67-M1-N1-C:J05-U11 RAS KERNEL INFO iar 003a92a0 dear 0129a488
TRUE:0 PRED:1 | 1125220160 2005.08.28 R73-M1-N8-C:J06-U01 2005-08-28-02.09.20.654913 R73-M1-N8-C:J06-U01 RAS KERNEL INFO 139632470 double-hummer alignment exceptions
TRUE:0 PRED:1 | 1124741118 2005.08.22 R21-M1-NC-I:J18-U01 2005-08-22-13.05.18.840938 R21-M1-NC-I:J18-U01 RAS KERNEL INFO ciod: generated 128 core files for program /home/germann2/BGL-demo/SPaSM_mpi
TRUE:0 PRED:1 | 1123060215 2005.08.03 UNKNOWN_LOCATION 2005-08-03-02.10.15.206558 UNKNOWN_LOCATION NULL DISCOVERY SEVERE Can not get assembly information for node card
TRUE:0 PRED:1 | 1121311109 2005.07.13 R34-M1-NE-C:J03-U11 2005-07-13-20.18.29.526143 R34-M1-NE-C:J03-U11 RAS KERNEL INFO generating core.29367
TRUE:0 PRED:1 | 1133051996 2005.11.26 R03-M1-NF-C:J07-U01 2005-11-26-16.39.56.330868 R03-M1-NF-C:J07-U01 RAS KERNEL FATAL r24=0x0ffea4c8 r25=0x00000003 r26=0x0000000f r27=0xffffd000
TRUE:0 PRED:1 | 1118770375 2005.06.14 R27-M0-N3-C:J15-U01 2005-06-14-10.32.55.359107 R27-M0-N3-C:J15-U01 RAS KERNEL FATAL program interrupt: imprecise exception......0
TRUE:0 PRED:1 | 1125084143 2005.08.26 R67-M1-N8-C:J02-U11 2005-08-26-12.22.23.952539 R67-M1-N8-C:J02-U11 RAS KERNEL INFO iar 003a929c dear 01291708
TRUE:0 PRED:1 | 1132609314 2005.11.21 R36-M1-N4-I:J18-U11 2005-11-21-13.41.54.797197 R36-M1-N4-I:J18-U11 RAS KERNEL INFO ciod: Received signal 15, code=0, errno=0, address=0x0000044d
TRUE:0 PRED:1 | 1121902797 2005.07.20 R27-M1-NC-C:J15-U01 2005-07-20-16.39.57.764472 R27-M1-NC-C:J15-U01 RAS KERNEL INFO 8 floating point alignment exceptions
TRUE:0 PRED:1 | 1119807218 2005.06.26 R35-M1-NF-C:J15-U01 2005-06-26-10.33.38.646025 R35-M1-NF-C:J15-U01 RAS KERNEL INFO program interrupt: privileged instruction...0
TRUE:0 PRED:1 | 1120266925 2005.07.01 R25-M1-N2-C:J10-U01 2005-07-01-18.15.25.287847 R25-M1-N2-C:J10-U01 RAS KERNEL INFO 1146800 double-hummer alignment exceptions
TRUE:0 PRED:1 | 1121311928 2005.07.13 R21-M0-N2-C:J05-U01 2005-07-13-20.32.08.455087 R21-M0-N2-C:J05-U01 RAS KERNEL INFO generating core.26735
TRUE:0 PRED:1 | 1118766119 2005.06.14 R02-M1-NC-C:J08-U11 2005-06-14-09.21.59.021659 R02-M1-NC-C:J08-U11 RAS KERNEL FATAL instruction address: 0x00004ed8
TRUE:0 PRED:1 | 1121006513 2005.07.10 R27-M1-N9-C:J15-U11 2005-07-10-07.41.53.770739 R27-M1-N9-C:J15-U11 RAS KERNEL INFO generating core.24376
TRUE:0 PRED:1 | 1121006557 2005.07.10 R24-M0-N3-C:J02-U01 2005-07-10-07.42.37.036562 R24-M0-N3-C:J02-U01 RAS KERNEL INFO generating core.31435
TRUE:0 PRED:1 | 1126267442 2005.09.09 R13-M0-N2-C:J09-U01 2005-09-09-05.04.02.346866 R13-M0-N2-C:J09-U01 RAS KERNEL INFO 1 torus receiver y+ input pipe error(s) (dcr 0x02ee) detected and corrected
TRUE:0 PRED:1 | 1124611166 2005.08.21 R30-M1-NC-C:J02-U01 2005-08-21-00.59.26.072269 R30-M1-NC-C:J02-U01 RAS KERNEL INFO CE sym 20, at 0x180462c0, mask 0x02
TRUE:0 PRED:1 | 1121598731 2005.07.17 R17-M1-N9-C:J09-U01 2005-07-17-04.12.11.971953 R17-M1-N9-C:J09-U01 RAS KERNEL INFO generating core.47690
TRUE:0 PRED:1 | 1120266847 2005.07.01 R33-M0-N2-C:J10-U01 2005-07-01-18.14.07.256483 R33-M0-N2-C:J10-U01 RAS KERNEL INFO 1146800 double-hummer alignment exceptions
TRUE:0 PRED:1 | 1121172512 2005.07.12 R34-M1-N4-C:J10-U01 2005-07-12-05.48.32.925986 R34-M1-N4-C:J10-U01 RAS KERNEL INFO generating core.14021
TRUE:0 PRED:1 | 1126979315 2005.09.17 R76-M1-N8 2005-09-17-10.48.35.944995 R76-M1-N8 NULL DISCOVERY ERROR Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK.
TRUE:0 PRED:1 | 1121313970 2005.07.13 R27-M0-N1-C:J05-U01 2005-07-13-21.06.10.081119 R27-M0-N1-C:J05-U01 RAS KERNEL INFO generating core.28011
TRUE:0 PRED:1 | 1119803528 2005.06.26 R05-M0-NE-C:J05-U01 2005-06-26-09.32.08.442047 R05-M0-NE-C:J05-U01 RAS KERNEL INFO data store interrupt caused by icbi.........0
TRUE:0 PRED:1 | 1127265777 2005.09.20 R62-M1-N8-I:J18-U01 2005-09-20-18.22.57.490109 R62-M1-N8-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(/bgl/apps/SWL/performance/MINIBEN///2005.09.20-18.06.01) failed: No such file or directory
TRUE:0 PRED:1 | 1121006797 2005.07.10 R25-M1-N7-C:J13-U01 2005-07-10-07.46.37.300865 R25-M1-N7-C:J13-U01 RAS KERNEL INFO generating core.4329
TRUE:0 PRED:1 | 1119807165 2005.06.26 R00-M0-N4-C:J02-U01 2005-06-26-10.32.45.810547 R00-M0-N4-C:J02-U01 RAS KERNEL INFO program interrupt: illegal instruction......1
TRUE:0 PRED:1 | 1133011728 2005.11.26 R72-M1-NC-I:J18-U11 2005-11-26-05.28.48.120288 R72-M1-NC-I:J18-U11 RAS KERNEL INFO ciod: Received signal 15, code=0, errno=0, address=0x000001f5
TRUE:0 PRED:1 | 1129724004 2005.10.19 R13-M1-N8-C:J02-U11 2005-10-19-05.13.24.054893 R13-M1-N8-C:J02-U11 RAS KERNEL INFO CE sym 13, at 0x00f254e0, mask 0x20
TRUE:0 PRED:1 | 1127243214 2005.09.20 NULL 2005-09-20-12.06.54.769367 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)
TRUE:0 PRED:1 | 1121252541 2005.07.13 R03-M0-N7-C:J12-U01 2005-07-13-04.02.21.078387 R03-M0-N7-C:J12-U01 RAS KERNEL INFO 114091808 double-hummer alignment exceptions
TRUE:0 PRED:1 | 1127243379 2005.09.20 NULL 2005-09-20-12.09.39.030884 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)
TRUE:0 PRED:1 | 1119977619 2005.06.28 R02-M1-NE 2005-06-28-09.53.39.479164 R02-M1-NE NULL DISCOVERY WARNING Node card is not fully functional
TRUE:0 PRED:1 | 1121495496 2005.07.15 R20-M0-N5-C:J03-U01 2005-07-15-23.31.36.540561 R20-M0-N5-C:J03-U01 RAS KERNEL INFO generating core.27867
TRUE:0 PRED:1 | 1128074784 2005.09.30 R07-M0-N0-C:J09-U01 2005-09-30-03.06.24.049908 R07-M0-N0-C:J09-U01 RAS KERNEL INFO CE sym 4, at 0x18f28be0, mask 0x40
TRUE:0 PRED:1 | 1121308306 2005.07.13 R37-M0-NA-C:J04-U11 2005-07-13-19.31.46.716108 R37-M0-NA-C:J04-U11 RAS KERNEL INFO generating core.22807
TRUE:0 PRED:1 | 1125084057 2005.08.26 R67-M1-N3-C:J16-U01 2005-08-26-12.20.57.286694 R67-M1-N3-C:J16-U01 RAS KERNEL INFO iar 003a9260 dear 0128fc88
TRUE:0 PRED:1 | 1134161333 2005.12.09 R61-M0-N0-I:J18-U11 2005-12-09-12.48.53.105166 R61-M0-N0-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/SWL/stability/HPL/WORK/1498./hpl_DD: invalid or missing program image, No such file or directory
TRUE:0 PRED:1 | 1121311518 2005.07.13 R32-M0-NC-C:J14-U11 2005-07-13-20.25.18.627085 R32-M0-NC-C:J14-U11 RAS KERNEL INFO generating core.18324
TRUE:0 PRED:1 | 1118772337 2005.06.14 R24-M0-N7-C:J06-U01 2005-06-14-11.05.37.845720 R24-M0-N7-C:J06-U01 RAS KERNEL FATAL critical input interrupt enable...0
TRUE:0 PRED:1 | 1131058319 2005.11.03 R67-M0-ND-C:J03-U01 2005-11-03-14.51.59.126492 R67-M0-ND-C:J03-U01 RAS KERNEL INFO iar 00106228 dear 0244c1ec
TRUE:0 PRED:1 | 1123609997 2005.08.09 R74-M0-N1 2005-08-09-10.53.17.485009 R74-M0-N1 NULL DISCOVERY WARNING Node card is not fully functional
TRUE:0 PRED:1 | 1129820611 2005.10.20 R01-M1-NC-I:J18-U01 2005-10-20-08.03.31.975086 R01-M1-NC-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/new.raptor.trace: invalid or missing program image, Exec format error
TRUE:0 PRED:1 | 1121496542 2005.07.15 R02-M1-NA-C:J05-U11 2005-07-15-23.49.02.062268 R02-M1-NA-C:J05-U11 RAS KERNEL INFO generating core.29543
TRUE:0 PRED:1 | 1133052171 2005.11.26 R14-M1-NC-I:J18-U01 2005-11-26-16.42.51.171566 R14-M1-NC-I:J18-U01 RAS KERNEL INFO ciod: Received signal 15, code=0, errno=0, address=0x000001f2
TRUE:0 PRED:1 | 1121309186 2005.07.13 R04-M1-N6-C:J12-U11 2005-07-13-19.46.26.896284 R04-M1-N6-C:J12-U11 RAS KERNEL INFO generating core.3181
TRUE:0 PRED:1 | 1124306491 2005.08.17 R12-M0-N4-I:J18-U01 2005-08-17-12.21.31.579167 R12-M0-N4-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(/p/bg1/da) failed: No such file or directory
TRUE:0 PRED:1 | 1120231520 2005.07.01 UNKNOWN_LOCATION 2005-07-01-08.25.20.466953 UNKNOWN_LOCATION NULL DISCOVERY INFO Ido chip status changed: FF:F2:9F:16:E2:23:00:0D:60:E9:1D:DC ip=10.0.0.151 v=9 t=4 status=M Fri Jul 01 08:16:53 PDT 2005
TRUE:0 PRED:1 | 1129204934 2005.10.13 R62-M1-N4-I:J18-U11 2005-10-13-05.02.14.653341 R62-M1-N4-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/followup/SPASM/spasm.254: invalid or missing program image, Permission denied
TRUE:0 PRED:1 | 1127264475 2005.09.20 R44-M1-NC-I:J18-U01 2005-09-20-18.01.15.836848 R44-M1-NC-I:J18-U01 RAS APP FATAL ciod: Error loading /home/yates//broadcast.rts: invalid or missing program image, No such file or directory
TRUE:0 PRED:1 | 1121495976 2005.07.15 R12-M1-N7-C:J08-U11 2005-07-15-23.39.36.355775 R12-M1-N7-C:J08-U11 RAS KERNEL INFO generating core.33706
TRUE:0 PRED:1 | 1127380615 2005.09.22 R63-M1-NA-C:J14-U11 2005-09-22-02.16.55.345135 R63-M1-NA-C:J14-U11 RAS KERNEL INFO total of 1 ddr error(s) detected and corrected
TRUE:0 PRED:1 | 1120241131 2005.07.01 R37-M1-N4 2005-07-01-11.05.31.120732 R37-M1-N4 NULL DISCOVERY SEVERE Can not get assembly information for node card
TRUE:0 PRED:1 | 1127243219 2005.09.20 NULL 2005-09-20-12.06.59.601269 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)
TRUE:0 PRED:1 | 1118773808 2005.06.14 R20-M1-NA-C:J03-U01 2005-06-14-11.30.08.524358 R20-M1-NA-C:J03-U01 RAS KERNEL FATAL core configuration register: 0x00002000
TRUE:0 PRED:1 | 1118773424 2005.06.14 R25-M0-N2-C:J04-U11 2005-06-14-11.23.44.638394 R25-M0-N2-C:J04-U11 RAS KERNEL FATAL floating pt ex mode 1 enable......0
TRUE:0 PRED:1 | 1121495798 2005.07.15 R37-M0-N5-C:J02-U11 2005-07-15-23.36.38.092419 R37-M0-N5-C:J02-U11 RAS KERNEL INFO generating core.44723
TRUE:0 PRED:1 | 1120173883 2005.06.30 R36-M1-N4-I:J18-U01 2005-06-30-16.24.43.164196 R36-M1-N4-I:J18-U01 RAS APP FATAL ciod: Error creating node map from file /p/gb2/welcome3/32k_128x256x1_8x4x4.map: Bad file descriptor
TRUE:0 PRED:1 | 1125084396 2005.08.26 R64-M0-NB-C:J15-U01 2005-08-26-12.26.36.200859 R64-M0-NB-C:J15-U01 RAS KERNEL INFO 1524480 double-hummer alignment exceptions
TRUE:0 PRED:1 | 1129550629 2005.10.17 R02-M0-N4-C:J04-U11 2005-10-17-05.03.49.800918 R02-M0-N4-C:J04-U11 RAS KERNEL INFO data cache search parity error detected. attempting to correct
