# Misclassified BGL Logs
# Total: 53 / 401
# Format: TRUE_LABEL PRED_LABEL SOURCE | LOG_LINE
#================================================================================

TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1133306326', date='2005.11.29', node='R21-M0-N8-I:J18-U01', time='2005-11-29-15.18.46.642475', node_repeat='R21-M0-N8-I:J18-U01', type='RAS', component='KERNEL', level='INFO', content='ciod: Received signal 15, code=0, errno=0, address=0x000001f2', raw='1133306326 2005.11.29 R21-M0-N8-I:J18-U01 2005-11-29-15.18.46.642475 R21-M0-N8-I:J18-U01 RAS KERNEL INFO ciod: Received signal 15, code=0, errno=0, address=0x000001f2')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1123110844', date='2005.08.03', node='NULL', time='2005-08-03-16.14.04.704650', node_repeat='NULL', type='RAS', component='MMCS', level='ERROR', content='idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)', raw='1123110844 2005.08.03 NULL 2005-08-03-16.14.04.704650 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1118774042', date='2005.06.14', node='R25-M1-N8-C:J03-U11', time='2005-06-14-11.34.02.588297', node_repeat='R25-M1-N8-C:J03-U11', type='RAS', component='KERNEL', level='FATAL', content='disable store gathering..................0', raw='1118774042 2005.06.14 R25-M1-N8-C:J03-U11 2005-06-14-11.34.02.588297 R25-M1-N8-C:J03-U11 RAS KERNEL FATAL disable store gathering..................0')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1127243216', date='2005.09.20', node='NULL', time='2005-09-20-12.06.56.253999', node_repeat='NULL', type='RAS', component='MMCS', level='ERROR', content='idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)', raw='1127243216 2005.09.20 NULL 2005-09-20-12.06.56.253999 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1129551549', date='2005.10.17', node='R02-M0-N4-C:J04-U11', time='2005-10-17-05.19.09.715915', node_repeat='R02-M0-N4-C:J04-U11', type='RAS', component='KERNEL', level='INFO', content='data cache search parity error detected. attempting to correct', raw='1129551549 2005.10.17 R02-M0-N4-C:J04-U11 2005-10-17-05.19.09.715915 R02-M0-N4-C:J04-U11 RAS KERNEL INFO data cache search parity error detected. attempting to correct')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1133448086', date='2005.12.01', node='R37-M1-NE-C:J04-U11', time='2005-12-01-06.41.26.523789', node_repeat='R37-M1-NE-C:J04-U11', type='RAS', component='KERNEL', level='INFO', content='10686 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.', raw='1133448086 2005.12.01 R37-M1-NE-C:J04-U11 2005-12-01-06.41.26.523789 R37-M1-NE-C:J04-U11 RAS KERNEL INFO 10686 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1133646587', date='2005.12.03', node='R55-M0-N9-C:J06-U11', time='2005-12-03-13.49.47.382429', node_repeat='R55-M0-N9-C:J06-U11', type='RAS', component='KERNEL', level='INFO', content='1 tree receiver 1 in re-synch state event(s) (dcr 0x0185) detected over 244 seconds', raw='1133646587 2005.12.03 R55-M0-N9-C:J06-U11 2005-12-03-13.49.47.382429 R55-M0-N9-C:J06-U11 RAS KERNEL INFO 1 tree receiver 1 in re-synch state event(s) (dcr 0x0185) detected over 244 seconds')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1135050698', date='2005.12.19', node='R77-M1-NC-I:J18-U01', time='2005-12-19-19.51.38.151363', node_repeat='R77-M1-NC-I:J18-U01', type='RAS', component='KERNEL', level='INFO', content='ciod: pollControlDescriptors: Detected the debugger died.', raw='1135050698 2005.12.19 R77-M1-NC-I:J18-U01 2005-12-19-19.51.38.151363 R77-M1-NC-I:J18-U01 RAS KERNEL INFO ciod: pollControlDescriptors: Detected the debugger died.')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1120231520', date='2005.07.01', node='UNKNOWN_LOCATION', time='2005-07-01-08.25.20.466953', node_repeat='UNKNOWN_LOCATION', type='NULL', component='DISCOVERY', level='INFO', content='Ido chip status changed: FF:F2:9F:16:E2:23:00:0D:60:E9:1D:DC ip=10.0.0.151 v=9 t=4 status=M Fri Jul 01 08:16:53 PDT 2005', raw='1120231520 2005.07.01 UNKNOWN_LOCATION 2005-07-01-08.25.20.466953 UNKNOWN_LOCATION NULL DISCOVERY INFO Ido chip status changed: FF:F2:9F:16:E2:23:00:0D:60:E9:1D:DC ip=10.0.0.151 v=9 t=4 status=M Fri Jul 01 08:16:53 PDT 2005')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1123110860', date='2005.08.03', node='NULL', time='2005-08-03-16.14.20.667595', node_repeat='NULL', type='RAS', component='MMCS', level='ERROR', content='idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)', raw='1123110860 2005.08.03 NULL 2005-08-03-16.14.20.667595 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1123110898', date='2005.08.03', node='NULL', time='2005-08-03-16.14.58.668464', node_repeat='NULL', type='RAS', component='MMCS', level='ERROR', content='idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)', raw='1123110898 2005.08.03 NULL 2005-08-03-16.14.58.668464 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1118772188', date='2005.06.14', node='R20-M0-N3-C:J06-U11', time='2005-06-14-11.03.08.491655', node_repeat='R20-M0-N3-C:J06-U11', type='RAS', component='KERNEL', level='FATAL', content='wait state enable.................0', raw='1118772188 2005.06.14 R20-M0-N3-C:J06-U11 2005-06-14-11.03.08.491655 R20-M0-N3-C:J06-U11 RAS KERNEL FATAL wait state enable.................0')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1119803528', date='2005.06.26', node='R05-M0-NE-C:J05-U01', time='2005-06-26-09.32.08.442047', node_repeat='R05-M0-NE-C:J05-U01', type='RAS', component='KERNEL', level='INFO', content='data store interrupt caused by icbi.........0', raw='1119803528 2005.06.26 R05-M0-NE-C:J05-U01 2005-06-26-09.32.08.442047 R05-M0-NE-C:J05-U01 RAS KERNEL INFO data store interrupt caused by icbi.........0')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1131147227', date='2005.11.04', node='R63-M0-N1-C:J05-U11', time='2005-11-04-15.33.47.360607', node_repeat='R63-M0-N1-C:J05-U11', type='RAS', component='KERNEL', level='INFO', content='iar 00106570 dear 0245a5bc', raw='1131147227 2005.11.04 R63-M0-N1-C:J05-U11 2005-11-04-15.33.47.360607 R63-M0-N1-C:J05-U11 RAS KERNEL INFO iar 00106570 dear 0245a5bc')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1133448588', date='2005.12.01', node='R46-M1-N5-C:J16-U01', time='2005-12-01-06.49.48.883198', node_repeat='R46-M1-N5-C:J16-U01', type='RAS', component='KERNEL', level='INFO', content='10765 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.', raw='1133448588 2005.12.01 R46-M1-N5-C:J16-U01 2005-12-01-06.49.48.883198 R46-M1-N5-C:J16-U01 RAS KERNEL INFO 10765 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1131129716', date='2005.11.04', node='R62-M0-NC-C:J15-U11', time='2005-11-04-10.41.56.879911', node_repeat='R62-M0-NC-C:J15-U11', type='RAS', component='KERNEL', level='INFO', content='iar 0010650c dear 0246a95c', raw='1131129716 2005.11.04 R62-M0-NC-C:J15-U11 2005-11-04-10.41.56.879911 R62-M0-NC-C:J15-U11 RAS KERNEL INFO iar 0010650c dear 0246a95c')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1117984246', date='2005.06.05', node='R30-M1-N3-C:J02-U01', time='2005-06-05-08.10.46.344235', node_repeat='R30-M1-N3-C:J02-U01', type='RAS', component='KERNEL', level='FATAL', content='force load/store alignment...............0', raw='1117984246 2005.06.05 R30-M1-N3-C:J02-U01 2005-06-05-08.10.46.344235 R30-M1-N3-C:J02-U01 RAS KERNEL FATAL force load/store alignment...............0')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1127243352', date='2005.09.20', node='NULL', time='2005-09-20-12.09.12.363370', node_repeat='NULL', type='RAS', component='MMCS', level='ERROR', content='idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)', raw='1127243352 2005.09.20 NULL 2005-09-20-12.09.12.363370 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1118772122', date='2005.06.14', node='R27-M0-N1-C:J08-U11', time='2005-06-14-11.02.02.749469', node_repeat='R27-M0-N1-C:J08-U11', type='RAS', component='KERNEL', level='FATAL', content='icache prefetch threshold................0', raw='1118772122 2005.06.14 R27-M0-N1-C:J08-U11 2005-06-14-11.02.02.749469 R27-M0-N1-C:J08-U11 RAS KERNEL FATAL icache prefetch threshold................0')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1118771001', date='2005.06.14', node='R25-M0-N8-C:J16-U11', time='2005-06-14-10.43.21.406138', node_repeat='R25-M0-N8-C:J16-U11', type='RAS', component='KERNEL', level='FATAL', content='data store interrupt caused by icbi.........0', raw='1118771001 2005.06.14 R25-M0-N8-C:J16-U11 2005-06-14-10.43.21.406138 R25-M0-N8-C:J16-U11 RAS KERNEL FATAL data store interrupt caused by icbi.........0')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1123110774', date='2005.08.03', node='NULL', time='2005-08-03-16.12.54.271533', node_repeat='NULL', type='RAS', component='MMCS', level='ERROR', content='idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)', raw='1123110774 2005.08.03 NULL 2005-08-03-16.12.54.271533 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1118770989', date='2005.06.14', node='R21-M1-N4-C:J17-U11', time='2005-06-14-10.43.09.420211', node_repeat='R21-M1-N4-C:J17-U11', type='RAS', component='KERNEL', level='FATAL', content='data store interrupt caused by icbi.........0', raw='1118770989 2005.06.14 R21-M1-N4-C:J17-U11 2005-06-14-10.43.09.420211 R21-M1-N4-C:J17-U11 RAS KERNEL FATAL data store interrupt caused by icbi.........0')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1131060268', date='2005.11.03', node='R67-M0-N1-C:J11-U01', time='2005-11-03-15.24.28.446530', node_repeat='R67-M0-N1-C:J11-U01', type='RAS', component='KERNEL', level='INFO', content='iar 00106580 dear 02494bcc', raw='1131060268 2005.11.03 R67-M0-N1-C:J11-U01 2005-11-03-15.24.28.446530 R67-M0-N1-C:J11-U01 RAS KERNEL INFO iar 00106580 dear 02494bcc')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1123966497', date='2005.08.13', node='R61-M1-NC-I:J18-U01', time='2005-08-13-13.54.57.564471', node_repeat='R61-M1-NC-I:J18-U01', type='RAS', component='APP', level='FATAL', content='ciod: LOGIN chdir(pwd) failed: No such file or directory', raw='1123966497 2005.08.13 R61-M1-NC-I:J18-U01 2005-08-13-13.54.57.564471 R61-M1-NC-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(pwd) failed: No such file or directory')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1132870645', date='2005.11.24', node='R77-M0-N4-I:J18-U01', time='2005-11-24-14.17.25.200932', node_repeat='R77-M0-N4-I:J18-U01', type='RAS', component='KERNEL', level='INFO', content='ciod: Received signal 15, code=0, errno=0, address=0x00001a12', raw='1132870645 2005.11.24 R77-M0-N4-I:J18-U01 2005-11-24-14.17.25.200932 R77-M0-N4-I:J18-U01 RAS KERNEL INFO ciod: Received signal 15, code=0, errno=0, address=0x00001a12')
TRUE:0 PRED:1 SOURCE:rule | BGLEntry(timestamp='1118771909', date='2005.06.14', node='R24-M1-N5-C:J09-U01', time='2005-06-14-10.58.29.332156', node_repeat='R24-M1-N5-C:J09-U01', type='RAS', component='KERNEL', level='FATAL', content='program interrupt: fp cr field .............0', raw='1118771909 2005.06.14 R24-M1-N5-C:J09-U01 2005-06-14-10.58.29.332156 R24-M1-N5-C:J09-U01 RAS KERNEL FATAL program interrupt: fp cr field .............0')
TRUE:0 PRED:1 SOURCE:rule | BGLEntry(timestamp='1119803805', date='2005.06.26', node='R36-M0-N9-C:J12-U01', time='2005-06-26-09.36.45.237515', node_repeat='R36-M0-N9-C:J12-U01', type='RAS', component='KERNEL', level='INFO', content='program interrupt: imprecise exception......0', raw='1119803805 2005.06.26 R36-M0-N9-C:J12-U01 2005-06-26-09.36.45.237515 R36-M0-N9-C:J12-U01 RAS KERNEL INFO program interrupt: imprecise exception......0')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1131059308', date='2005.11.03', node='R66-M1-N5-C:J14-U11', time='2005-11-03-15.08.28.067991', node_repeat='R66-M1-N5-C:J14-U11', type='RAS', component='KERNEL', level='INFO', content='iar 00106210 dear 0244c1dc', raw='1131059308 2005.11.03 R66-M1-N5-C:J14-U11 2005-11-03-15.08.28.067991 R66-M1-N5-C:J14-U11 RAS KERNEL INFO iar 00106210 dear 0244c1dc')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1131059594', date='2005.11.03', node='R66-M0-N4-C:J02-U01', time='2005-11-03-15.13.14.342761', node_repeat='R66-M0-N4-C:J02-U01', type='RAS', component='KERNEL', level='INFO', content='iar 001061dc dear 0244c28c', raw='1131059594 2005.11.03 R66-M0-N4-C:J02-U01 2005-11-03-15.13.14.342761 R66-M0-N4-C:J02-U01 RAS KERNEL INFO iar 001061dc dear 0244c28c')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1118773941', date='2005.06.14', node='R20-M1-NA-C:J04-U01', time='2005-06-14-11.32.21.174785', node_repeat='R20-M1-NA-C:J04-U01', type='RAS', component='KERNEL', level='FATAL', content='disable store gathering..................0', raw='1118773941 2005.06.14 R20-M1-NA-C:J04-U01 2005-06-14-11.32.21.174785 R20-M1-NA-C:J04-U01 RAS KERNEL FATAL disable store gathering..................0')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1127243531', date='2005.09.20', node='NULL', time='2005-09-20-12.12.11.388103', node_repeat='NULL', type='RAS', component='MMCS', level='ERROR', content='idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)', raw='1127243531 2005.09.20 NULL 2005-09-20-12.12.11.388103 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1127243412', date='2005.09.20', node='NULL', time='2005-09-20-12.10.12.752571', node_repeat='NULL', type='RAS', component='MMCS', level='ERROR', content='idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)', raw='1127243412 2005.09.20 NULL 2005-09-20-12.10.12.752571 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1118771330', date='2005.06.14', node='R26-M1-N6-C:J05-U01', time='2005-06-14-10.48.50.649332', node_repeat='R26-M1-N6-C:J05-U01', type='RAS', component='KERNEL', level='FATAL', content='floating pt ex mode 1 enable......0', raw='1118771330 2005.06.14 R26-M1-N6-C:J05-U01 2005-06-14-10.48.50.649332 R26-M1-N6-C:J05-U01 RAS KERNEL FATAL floating pt ex mode 1 enable......0')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1131058388', date='2005.11.03', node='R66-M0-N5-C:J04-U11', time='2005-11-03-14.53.08.510509', node_repeat='R66-M0-N5-C:J04-U11', type='RAS', component='KERNEL', level='INFO', content='iar 001061dc dear 0244c22c', raw='1131058388 2005.11.03 R66-M0-N5-C:J04-U11 2005-11-03-14.53.08.510509 R66-M0-N5-C:J04-U11 RAS KERNEL INFO iar 001061dc dear 0244c22c')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1127243349', date='2005.09.20', node='NULL', time='2005-09-20-12.09.09.807842', node_repeat='NULL', type='RAS', component='MMCS', level='ERROR', content='idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)', raw='1127243349 2005.09.20 NULL 2005-09-20-12.09.09.807842 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1131126633', date='2005.11.04', node='R62-M0-N2-C:J14-U01', time='2005-11-04-09.50.33.808350', node_repeat='R62-M0-N2-C:J14-U01', type='RAS', component='KERNEL', level='INFO', content='iar 00106600 dear 0245ccfc', raw='1131126633 2005.11.04 R62-M0-N2-C:J14-U01 2005-11-04-09.50.33.808350 R62-M0-N2-C:J14-U01 RAS KERNEL INFO iar 00106600 dear 0245ccfc')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1131590868', date='2005.11.09', node='R63-M0-N1-C:J07-U01', time='2005-11-09-18.47.48.543958', node_repeat='R63-M0-N1-C:J07-U01', type='RAS', component='KERNEL', level='INFO', content='iar 00113898 dear 0fee9c4c', raw='1131590868 2005.11.09 R63-M0-N1-C:J07-U01 2005-11-09-18.47.48.543958 R63-M0-N1-C:J07-U01 RAS KERNEL INFO iar 00113898 dear 0fee9c4c')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1132584963', date='2005.11.21', node='R26-M0-N0-I:J18-U11', time='2005-11-21-06.56.03.369673', node_repeat='R26-M0-N0-I:J18-U11', type='RAS', component='KERNEL', level='INFO', content='MACHINE CHECK DCR read timeout (mc=e08x iar 0x00000000 lr 0xc00045a4)', raw='1132584963 2005.11.21 R26-M0-N0-I:J18-U11 2005-11-21-06.56.03.369673 R26-M0-N0-I:J18-U11 RAS KERNEL INFO MACHINE CHECK DCR read timeout (mc=e08x iar 0x00000000 lr 0xc00045a4)')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1133448674', date='2005.12.01', node='R26-M1-NF-C:J09-U01', time='2005-12-01-06.51.14.927478', node_repeat='R26-M1-NF-C:J09-U01', type='RAS', component='KERNEL', level='INFO', content='0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.', raw='1133448674 2005.12.01 R26-M1-NF-C:J09-U01 2005-12-01-06.51.14.927478 R26-M1-NF-C:J09-U01 RAS KERNEL INFO 0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.')
