# Misclassified BGL Logs
# Total: 30 / 401
# Format: TRUE_LABEL PRED_LABEL SOURCE | LOG_LINE
#================================================================================

TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1131473805', date='2005.11.08', node='R62-M0-NE-C:J09-U01', time='2005-11-08-10.16.45.386821', node_repeat='R62-M0-NE-C:J09-U01', type='RAS', component='KERNEL', level='INFO', content='iar 00105e84 dear 024701dc', raw='1131473805 2005.11.08 R62-M0-NE-C:J09-U01 2005-11-08-10.16.45.386821 R62-M0-NE-C:J09-U01 RAS KERNEL INFO iar 00105e84 dear 024701dc')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1123110898', date='2005.08.03', node='NULL', time='2005-08-03-16.14.58.668464', node_repeat='NULL', type='RAS', component='MMCS', level='ERROR', content='idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)', raw='1123110898 2005.08.03 NULL 2005-08-03-16.14.58.668464 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1131147227', date='2005.11.04', node='R63-M0-N1-C:J05-U11', time='2005-11-04-15.33.47.360607', node_repeat='R63-M0-N1-C:J05-U11', type='RAS', component='KERNEL', level='INFO', content='iar 00106570 dear 0245a5bc', raw='1131147227 2005.11.04 R63-M0-N1-C:J05-U11 2005-11-04-15.33.47.360607 R63-M0-N1-C:J05-U11 RAS KERNEL INFO iar 00106570 dear 0245a5bc')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1131129716', date='2005.11.04', node='R62-M0-NC-C:J15-U11', time='2005-11-04-10.41.56.879911', node_repeat='R62-M0-NC-C:J15-U11', type='RAS', component='KERNEL', level='INFO', content='iar 0010650c dear 0246a95c', raw='1131129716 2005.11.04 R62-M0-NC-C:J15-U11 2005-11-04-10.41.56.879911 R62-M0-NC-C:J15-U11 RAS KERNEL INFO iar 0010650c dear 0246a95c')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1117984246', date='2005.06.05', node='R30-M1-N3-C:J02-U01', time='2005-06-05-08.10.46.344235', node_repeat='R30-M1-N3-C:J02-U01', type='RAS', component='KERNEL', level='FATAL', content='force load/store alignment...............0', raw='1117984246 2005.06.05 R30-M1-N3-C:J02-U01 2005-06-05-08.10.46.344235 R30-M1-N3-C:J02-U01 RAS KERNEL FATAL force load/store alignment...............0')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1127243352', date='2005.09.20', node='NULL', time='2005-09-20-12.09.12.363370', node_repeat='NULL', type='RAS', component='MMCS', level='ERROR', content='idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)', raw='1127243352 2005.09.20 NULL 2005-09-20-12.09.12.363370 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1123110774', date='2005.08.03', node='NULL', time='2005-08-03-16.12.54.271533', node_repeat='NULL', type='RAS', component='MMCS', level='ERROR', content='idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)', raw='1123110774 2005.08.03 NULL 2005-08-03-16.12.54.271533 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1131060268', date='2005.11.03', node='R67-M0-N1-C:J11-U01', time='2005-11-03-15.24.28.446530', node_repeat='R67-M0-N1-C:J11-U01', type='RAS', component='KERNEL', level='INFO', content='iar 00106580 dear 02494bcc', raw='1131060268 2005.11.03 R67-M0-N1-C:J11-U01 2005-11-03-15.24.28.446530 R67-M0-N1-C:J11-U01 RAS KERNEL INFO iar 00106580 dear 02494bcc')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1123966497', date='2005.08.13', node='R61-M1-NC-I:J18-U01', time='2005-08-13-13.54.57.564471', node_repeat='R61-M1-NC-I:J18-U01', type='RAS', component='APP', level='FATAL', content='ciod: LOGIN chdir(pwd) failed: No such file or directory', raw='1123966497 2005.08.13 R61-M1-NC-I:J18-U01 2005-08-13-13.54.57.564471 R61-M1-NC-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(pwd) failed: No such file or directory')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1131059308', date='2005.11.03', node='R66-M1-N5-C:J14-U11', time='2005-11-03-15.08.28.067991', node_repeat='R66-M1-N5-C:J14-U11', type='RAS', component='KERNEL', level='INFO', content='iar 00106210 dear 0244c1dc', raw='1131059308 2005.11.03 R66-M1-N5-C:J14-U11 2005-11-03-15.08.28.067991 R66-M1-N5-C:J14-U11 RAS KERNEL INFO iar 00106210 dear 0244c1dc')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1131059594', date='2005.11.03', node='R66-M0-N4-C:J02-U01', time='2005-11-03-15.13.14.342761', node_repeat='R66-M0-N4-C:J02-U01', type='RAS', component='KERNEL', level='INFO', content='iar 001061dc dear 0244c28c', raw='1131059594 2005.11.03 R66-M0-N4-C:J02-U01 2005-11-03-15.13.14.342761 R66-M0-N4-C:J02-U01 RAS KERNEL INFO iar 001061dc dear 0244c28c')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1127243531', date='2005.09.20', node='NULL', time='2005-09-20-12.12.11.388103', node_repeat='NULL', type='RAS', component='MMCS', level='ERROR', content='idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)', raw='1127243531 2005.09.20 NULL 2005-09-20-12.12.11.388103 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1127243412', date='2005.09.20', node='NULL', time='2005-09-20-12.10.12.752571', node_repeat='NULL', type='RAS', component='MMCS', level='ERROR', content='idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)', raw='1127243412 2005.09.20 NULL 2005-09-20-12.10.12.752571 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1118771330', date='2005.06.14', node='R26-M1-N6-C:J05-U01', time='2005-06-14-10.48.50.649332', node_repeat='R26-M1-N6-C:J05-U01', type='RAS', component='KERNEL', level='FATAL', content='floating pt ex mode 1 enable......0', raw='1118771330 2005.06.14 R26-M1-N6-C:J05-U01 2005-06-14-10.48.50.649332 R26-M1-N6-C:J05-U01 RAS KERNEL FATAL floating pt ex mode 1 enable......0')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1127243349', date='2005.09.20', node='NULL', time='2005-09-20-12.09.09.807842', node_repeat='NULL', type='RAS', component='MMCS', level='ERROR', content='idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)', raw='1127243349 2005.09.20 NULL 2005-09-20-12.09.09.807842 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1131126633', date='2005.11.04', node='R62-M0-N2-C:J14-U01', time='2005-11-04-09.50.33.808350', node_repeat='R62-M0-N2-C:J14-U01', type='RAS', component='KERNEL', level='INFO', content='iar 00106600 dear 0245ccfc', raw='1131126633 2005.11.04 R62-M0-N2-C:J14-U01 2005-11-04-09.50.33.808350 R62-M0-N2-C:J14-U01 RAS KERNEL INFO iar 00106600 dear 0245ccfc')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1131590868', date='2005.11.09', node='R63-M0-N1-C:J07-U01', time='2005-11-09-18.47.48.543958', node_repeat='R63-M0-N1-C:J07-U01', type='RAS', component='KERNEL', level='INFO', content='iar 00113898 dear 0fee9c4c', raw='1131590868 2005.11.09 R63-M0-N1-C:J07-U01 2005-11-09-18.47.48.543958 R63-M0-N1-C:J07-U01 RAS KERNEL INFO iar 00113898 dear 0fee9c4c')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1132584963', date='2005.11.21', node='R26-M0-N0-I:J18-U11', time='2005-11-21-06.56.03.369673', node_repeat='R26-M0-N0-I:J18-U11', type='RAS', component='KERNEL', level='INFO', content='MACHINE CHECK DCR read timeout (mc=e08x iar 0x00000000 lr 0xc00045a4)', raw='1132584963 2005.11.21 R26-M0-N0-I:J18-U11 2005-11-21-06.56.03.369673 R26-M0-N0-I:J18-U11 RAS KERNEL INFO MACHINE CHECK DCR read timeout (mc=e08x iar 0x00000000 lr 0xc00045a4)')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1133448674', date='2005.12.01', node='R26-M1-NF-C:J09-U01', time='2005-12-01-06.51.14.927478', node_repeat='R26-M1-NF-C:J09-U01', type='RAS', component='KERNEL', level='INFO', content='0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.', raw='1133448674 2005.12.01 R26-M1-NF-C:J09-U01 2005-12-01-06.51.14.927478 R26-M1-NF-C:J09-U01 RAS KERNEL INFO 0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.')
TRUE:0 PRED:1 SOURCE:deepseek | BGLEntry(timestamp='1127265666', date='2005.09.20', node='R54-M1-N4-I:J18-U11', time='2005-09-20-18.21.06.263282', node_repeat='R54-M1-N4-I:J18-U11', type='RAS', component='APP', level='FATAL', content='ciod: LOGIN chdir(/bgl/apps/SWL/performance/MINIBEN///2005.09.20-18.06.01) failed: No such file or directory', raw='1127265666 2005.09.20 R54-M1-N4-I:J18-U11 2005-09-20-18.21.06.263282 R54-M1-N4-I:J18-U11 RAS APP FATAL ciod: LOGIN chdir(/bgl/apps/SWL/performance/MINIBEN///2005.09.20-18.06.01) failed: No such file or directory')
