# Misclassified BGL Logs
# Total: 87 / 401
# Format: TRUE_LABEL PRED_LABEL SOURCE | LOG_LINE
#================================================================================

TRUE:0 PRED:1 SOURCE:deepseek | 1127243377 2005.09.20 NULL 2005-09-20-12.09.37.578989 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)
TRUE:0 PRED:1 SOURCE:deepseek | 1123110844 2005.08.03 NULL 2005-08-03-16.14.04.704650 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)
TRUE:0 PRED:1 SOURCE:deepseek | 1123195190 2005.08.04 UNKNOWN_LOCATION 2005-08-04-15.39.50.374720 UNKNOWN_LOCATION NULL DISCOVERY INFO Ido chip status changed: FF:F2:9F:15:7E:6E:00:0D:60:EA:81:91 ip=10.0.1.155 v=13 t=1 status=M Thu Aug 04 15:31:25 PDT 2005
TRUE:0 PRED:1 SOURCE:deepseek | 1128382008 2005.10.03 R63-M0-N4-I:J18-U01 2005-10-03-16.26.48.791418 R63-M0-N4-I:J18-U01 RAS KERNEL INFO ciod: generated 108 core files for program /home/spelce1/HPCC_IBM/Urgent/VNM/32K/vnm.rts
TRUE:0 PRED:1 SOURCE:deepseek | 1133051996 2005.11.26 R03-M1-NF-C:J07-U01 2005-11-26-16.39.56.330868 R03-M1-NF-C:J07-U01 RAS KERNEL FATAL r24=0x0ffea4c8 r25=0x00000003 r26=0x0000000f r27=0xffffd000
TRUE:0 PRED:1 SOURCE:deepseek | 1131060284 2005.11.03 R66-M0-NA-C:J03-U11 2005-11-03-15.24.44.675679 R66-M0-NA-C:J03-U11 RAS KERNEL INFO iar 00106534 dear 02494c0c
TRUE:0 PRED:1 SOURCE:deepseek | 1133455511 2005.12.01 R25-M1-ND-C:J08-U01 2005-12-01-08.45.11.599274 R25-M1-ND-C:J08-U01 RAS KERNEL INFO 0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.
TRUE:0 PRED:1 SOURCE:deepseek | 1127781971 2005.09.26 R34-M0-N8-I:J18-U11 2005-09-26-17.46.11.092617 R34-M0-N8-I:J18-U11 RAS KERNEL INFO ciod: generated 128 core files for program /bgl/apps/SWL/stability/DDCMD//ddcMDbglV
TRUE:0 PRED:1 SOURCE:deepseek | 1118774042 2005.06.14 R25-M1-N8-C:J03-U11 2005-06-14-11.34.02.588297 R25-M1-N8-C:J03-U11 RAS KERNEL FATAL disable store gathering..................0
TRUE:0 PRED:1 SOURCE:deepseek | 1127243216 2005.09.20 NULL 2005-09-20-12.06.56.253999 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)
TRUE:0 PRED:1 SOURCE:deepseek | 1131060122 2005.11.03 R67-M1-NA-C:J13-U01 2005-11-03-15.22.02.358932 R67-M1-NA-C:J13-U01 RAS KERNEL INFO iar 00106568 dear 02494bbc
TRUE:0 PRED:1 SOURCE:deepseek | 1132585230 2005.11.21 R26-M0-N0-I:J18-U11 2005-11-21-07.00.30.773283 R26-M0-N0-I:J18-U11 RAS KERNEL INFO MACHINE CHECK DCR read timeout (mc=e08x iar 0x00000000 lr 0xc00045a4)
TRUE:0 PRED:1 SOURCE:deepseek | 1124741118 2005.08.22 R21-M1-NC-I:J18-U01 2005-08-22-13.05.18.840938 R21-M1-NC-I:J18-U01 RAS KERNEL INFO ciod: generated 128 core files for program /home/germann2/BGL-demo/SPaSM_mpi
TRUE:0 PRED:1 SOURCE:deepseek | 1135050698 2005.12.19 R77-M1-NC-I:J18-U01 2005-12-19-19.51.38.151363 R77-M1-NC-I:J18-U01 RAS KERNEL INFO ciod: pollControlDescriptors: Detected the debugger died.
TRUE:0 PRED:1 SOURCE:deepseek | 1120231520 2005.07.01 UNKNOWN_LOCATION 2005-07-01-08.25.20.466953 UNKNOWN_LOCATION NULL DISCOVERY INFO Ido chip status changed: FF:F2:9F:16:E2:23:00:0D:60:E9:1D:DC ip=10.0.0.151 v=9 t=4 status=M Fri Jul 01 08:16:53 PDT 2005
TRUE:0 PRED:1 SOURCE:deepseek | 1133448493 2005.12.01 R64-M0-N1-C:J06-U11 2005-12-01-06.48.13.253997 R64-M0-N1-C:J06-U11 RAS KERNEL INFO 0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.
TRUE:0 PRED:1 SOURCE:deepseek | 1123110860 2005.08.03 NULL 2005-08-03-16.14.20.667595 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)
TRUE:0 PRED:1 SOURCE:deepseek | 1123110898 2005.08.03 NULL 2005-08-03-16.14.58.668464 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)
TRUE:0 PRED:1 SOURCE:deepseek | 1123021638 2005.08.02 UNKNOWN_LOCATION 2005-08-02-15.27.18.161989 UNKNOWN_LOCATION NULL DISCOVERY INFO New ido chip inserted into the database: FF:F2:9F:15:1F:72:00:0D:60:EA:E0:8D ip=10.7.0.13 v=9 t=2
TRUE:0 PRED:1 SOURCE:deepseek | 1131129716 2005.11.04 R62-M0-NC-C:J15-U11 2005-11-04-10.41.56.879911 R62-M0-NC-C:J15-U11 RAS KERNEL INFO iar 0010650c dear 0246a95c
TRUE:0 PRED:1 SOURCE:deepseek | 1126969026 2005.09.17 UNKNOWN_LOCATION 2005-09-17-07.57.06.422022 UNKNOWN_LOCATION NULL DISCOVERY INFO Ido chip status changed: FF:F2:9F:15:7B:E0:00:0D:60:EA:84:1F ip=10.7.0.130 v=13 t=1 status=M Sat Sep 17 07:49:04 PDT 2005
TRUE:0 PRED:1 SOURCE:deepseek | 1127243352 2005.09.20 NULL 2005-09-20-12.09.12.363370 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)
TRUE:0 PRED:1 SOURCE:deepseek | 1125224175 2005.08.28 R52-M1-N6-C:J13-U01 2005-08-28-03.16.15.509778 R52-M1-N6-C:J13-U01 RAS KERNEL INFO iar 0014a150 dear 0098cdc8
TRUE:0 PRED:1 SOURCE:deepseek | 1133447941 2005.12.01 R13-M0-NA-C:J08-U01 2005-12-01-06.39.01.729708 R13-M0-NA-C:J08-U01 RAS KERNEL INFO 10650 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.
TRUE:0 PRED:1 SOURCE:deepseek | 1133455488 2005.12.01 R25-M0-N7-C:J07-U01 2005-12-01-08.44.48.531704 R25-M0-N7-C:J07-U01 RAS KERNEL INFO 0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.
TRUE:0 PRED:1 SOURCE:deepseek | 1118770989 2005.06.14 R21-M1-N4-C:J17-U11 2005-06-14-10.43.09.420211 R21-M1-N4-C:J17-U11 RAS KERNEL FATAL data store interrupt caused by icbi.........0
TRUE:0 PRED:1 SOURCE:deepseek | 1123966497 2005.08.13 R61-M1-NC-I:J18-U01 2005-08-13-13.54.57.564471 R61-M1-NC-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(pwd) failed: No such file or directory
TRUE:0 PRED:1 SOURCE:deepseek | 1127245515 2005.09.20 R26-M0-N7 2005-09-20-12.45.15.754325 R26-M0-N7 NULL DISCOVERY INFO Node card VPD check: U01 node in processor card slot J08 do not match. VPD ecid 075F04E8A27BFFFF07021C3096ED, found 04D78137922FFFFF040E1C3052ED
TRUE:0 PRED:1 SOURCE:deepseek | 1133455641 2005.12.01 R23-M0-ND-C:J11-U11 2005-12-01-08.47.21.966726 R23-M0-ND-C:J11-U11 RAS KERNEL INFO 10722 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.
TRUE:0 PRED:1 SOURCE:deepseek | 1133455467 2005.12.01 R40-M1-NE-C:J10-U11 2005-12-01-08.44.27.738774 R40-M1-NE-C:J10-U11 RAS KERNEL INFO 10676 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.
TRUE:0 PRED:1 SOURCE:deepseek | 1132870645 2005.11.24 R77-M0-N4-I:J18-U01 2005-11-24-14.17.25.200932 R77-M0-N4-I:J18-U01 RAS KERNEL INFO ciod: Received signal 15, code=0, errno=0, address=0x00001a12
TRUE:0 PRED:1 SOURCE:deepseek | 1131366730 2005.11.07 R50-M0-N4-I:J18-U01 2005-11-07-04.32.10.481855 R50-M0-N4-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/RAPTOR/pre-study/raptor.newcomp.r1: invalid or missing program image, Permission denied
TRUE:0 PRED:1 SOURCE:deepseek | 1125084030 2005.08.26 R67-M1-NB-C:J10-U11 2005-08-26-12.20.30.217174 R67-M1-NB-C:J10-U11 RAS KERNEL INFO iar 003a9260 dear 0128f2f8
TRUE:0 PRED:1 SOURCE:deepseek | 1125083309 2005.08.26 R65-M1-N9-C:J16-U11 2005-08-26-12.08.29.680955 R65-M1-N9-C:J16-U11 RAS KERNEL INFO iar 003a9260 dear 00efcbc8
TRUE:0 PRED:1 SOURCE:deepseek | 1131060806 2005.11.03 R67-M0-N0-C:J03-U01 2005-11-03-15.33.26.605133 R67-M0-N0-C:J03-U01 RAS KERNEL INFO iar 00106580 dear 02494c2c
TRUE:0 PRED:1 SOURCE:deepseek | 1131059636 2005.11.03 R66-M1-ND-C:J14-U11 2005-11-03-15.13.56.350902 R66-M1-ND-C:J14-U11 RAS KERNEL INFO iar 00106210 dear 0244c23c
TRUE:0 PRED:1 SOURCE:deepseek | 1133448656 2005.12.01 R27-M1-NA-C:J05-U11 2005-12-01-06.50.56.045860 R27-M1-NA-C:J05-U11 RAS KERNEL INFO 10744 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.
TRUE:0 PRED:1 SOURCE:deepseek | 1133455058 2005.12.01 R53-M1-N9-C:J11-U11 2005-12-01-08.37.38.478575 R53-M1-N9-C:J11-U11 RAS KERNEL INFO 10722 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.
TRUE:0 PRED:1 SOURCE:deepseek | 1132609277 2005.11.21 R55-M0-NC-I:J18-U01 2005-11-21-13.41.17.863430 R55-M0-NC-I:J18-U01 RAS KERNEL INFO ciod: Received signal 15, code=0, errno=0, address=0x0000044a
TRUE:0 PRED:1 SOURCE:deepseek | 1127264333 2005.09.20 R45-M0-N0-I:J18-U01 2005-09-20-17.58.53.385609 R45-M0-N0-I:J18-U01 RAS APP FATAL ciod: Error loading /home/yates//torus-latency.rts: invalid or missing program image, No such file or directory
TRUE:0 PRED:1 SOURCE:deepseek | 1124547186 2005.08.20 R65-M0-NC-I:J18-U01 2005-08-20-07.13.06.997141 R65-M0-NC-I:J18-U01 RAS KERNEL INFO ciod: generated 64 core files for program /bgl/apps/swl-prep/ibm-swl/functional/sppm_chkpt/run/sppm
TRUE:0 PRED:1 SOURCE:deepseek | 1125083702 2005.08.26 R65-M0-ND-C:J12-U01 2005-08-26-12.15.02.887927 R65-M0-ND-C:J12-U01 RAS KERNEL INFO iar 003a9254 dear 00f05688
TRUE:0 PRED:1 SOURCE:deepseek | 1127264347 2005.09.20 R72-M0-N8-I:J18-U01 2005-09-20-17.59.07.131519 R72-M0-N8-I:J18-U01 RAS APP FATAL ciod: Error loading /home/yates//torus-latency.rts: invalid or missing program image, No such file or directory
TRUE:0 PRED:1 SOURCE:deepseek | 1127264122 2005.09.20 R27-M0-N8-I:J18-U11 2005-09-20-17.55.22.058829 R27-M0-N8-I:J18-U11 RAS APP FATAL ciod: Error loading /home/yates//bandwidth.rts: invalid or missing program image, No such file or directory
TRUE:0 PRED:1 SOURCE:deepseek | 1135178837 2005.12.21 R62-M0-N4-I:J18-U01 2005-12-21-07.27.17.749308 R62-M0-N4-I:J18-U01 RAS APP FATAL ciod: Error loading /g/g24/buber/Yunsic/BlueGene/partad.develf/taddriver.32.exe: program image too big, 361544528 > 266076160
TRUE:0 PRED:1 SOURCE:deepseek | 1125082053 2005.08.26 R62-M1-N3-C:J04-U01 2005-08-26-11.47.33.903841 R62-M1-N3-C:J04-U01 RAS KERNEL INFO iar 003a90fc dear 00b360e8
TRUE:0 PRED:1 SOURCE:deepseek | 1133448310 2005.12.01 R76-M1-NC-C:J16-U01 2005-12-01-06.45.10.211281 R76-M1-NC-C:J16-U01 RAS KERNEL INFO 10644 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.
TRUE:0 PRED:1 SOURCE:deepseek | 1133447722 2005.12.01 R11-M1-NF-C:J07-U01 2005-12-01-06.35.22.172118 R11-M1-NF-C:J07-U01 RAS KERNEL INFO 0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.
TRUE:0 PRED:1 SOURCE:deepseek | 1132076597 2005.11.15 R23-M0-N7 2005-11-15-09.43.17.181620 R23-M0-N7 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J04 do not match. VPD ecid 04D58088CB2FFFFF08031C104CE9, found 04CA80D8012FFFFF08061A8094CB
TRUE:0 PRED:1 SOURCE:deepseek | 1127265535 2005.09.20 R23-M1-N8-I:J18-U11 2005-09-20-18.18.55.570301 R23-M1-N8-I:J18-U11 RAS APP FATAL ciod: LOGIN chdir(/bgl/apps/SWL/performance/MINIBEN///2005.09.20-18.06.05) failed: No such file or directory
TRUE:0 PRED:1 SOURCE:deepseek | 1131059308 2005.11.03 R66-M1-N5-C:J14-U11 2005-11-03-15.08.28.067991 R66-M1-N5-C:J14-U11 RAS KERNEL INFO iar 00106210 dear 0244c1dc
TRUE:0 PRED:1 SOURCE:deepseek | 1130251536 2005.10.25 R46-M0-NC-I:J18-U11 2005-10-25-07.45.36.124897 R46-M0-NC-I:J18-U11 RAS APP FATAL ciod: Error loading allreduce_int_V1R1.rts: invalid or missing program image, No such file or directory
TRUE:0 PRED:1 SOURCE:deepseek | 1127243531 2005.09.20 NULL 2005-09-20-12.12.11.388103 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)
TRUE:0 PRED:1 SOURCE:deepseek | 1127243412 2005.09.20 NULL 2005-09-20-12.10.12.752571 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)
TRUE:0 PRED:1 SOURCE:deepseek | 1118771330 2005.06.14 R26-M1-N6-C:J05-U01 2005-06-14-10.48.50.649332 R26-M1-N6-C:J05-U01 RAS KERNEL FATAL floating pt ex mode 1 enable......0
TRUE:0 PRED:1 SOURCE:deepseek | 1131058388 2005.11.03 R66-M0-N5-C:J04-U11 2005-11-03-14.53.08.510509 R66-M0-N5-C:J04-U11 RAS KERNEL INFO iar 001061dc dear 0244c22c
TRUE:0 PRED:1 SOURCE:deepseek | 1135095320 2005.12.20 R45-M0-N4-I:J18-U01 2005-12-20-08.15.20.957109 R45-M0-N4-I:J18-U01 RAS KERNEL INFO ciod: generated 128 core files for program /g/g24/germann2/SPaSM_static/SPaSM_mpi
TRUE:0 PRED:1 SOURCE:deepseek | 1133455322 2005.12.01 R66-M0-NC-C:J04-U11 2005-12-01-08.42.02.759879 R66-M0-NC-C:J04-U11 RAS KERNEL INFO 10684 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.
TRUE:0 PRED:1 SOURCE:deepseek | 1131058170 2005.11.03 R64-M1-N9-C:J15-U11 2005-11-03-14.49.30.411659 R64-M1-N9-C:J15-U11 RAS KERNEL INFO iar 001061dc dear 0244c22c
TRUE:0 PRED:1 SOURCE:deepseek | 1133306285 2005.11.29 R60-M0-N4-I:J18-U01 2005-11-29-15.18.05.050463 R60-M0-N4-I:J18-U01 RAS KERNEL INFO ciod: Received signal 15, code=0, errno=0, address=0x000001f2
TRUE:0 PRED:1 SOURCE:deepseek | 1124394255 2005.08.18 R02-M0-N4-I:J18-U11 2005-08-18-12.44.15.155220 R02-M0-N4-I:J18-U11 RAS KERNEL INFO ciod: generated 64 core files for program /bgl/apps/swl-prep/ibm-swl/functional/sppm_chkpt/run/sppm
TRUE:0 PRED:1 SOURCE:deepseek | 1133454722 2005.12.01 R11-M1-ND-C:J09-U01 2005-12-01-08.32.02.378980 R11-M1-ND-C:J09-U01 RAS KERNEL INFO 10698 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.
TRUE:0 PRED:1 SOURCE:deepseek | 1127243349 2005.09.20 NULL 2005-09-20-12.09.09.807842 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)
TRUE:0 PRED:1 SOURCE:deepseek | 1133458363 2005.12.01 R00-M0-N8-C:J17-U01 2005-12-01-09.32.43.947020 R00-M0-N8-C:J17-U01 RAS KERNEL INFO 720 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.
TRUE:0 PRED:1 SOURCE:deepseek | 1131126633 2005.11.04 R62-M0-N2-C:J14-U01 2005-11-04-09.50.33.808350 R62-M0-N2-C:J14-U01 RAS KERNEL INFO iar 00106600 dear 0245ccfc
TRUE:0 PRED:1 SOURCE:deepseek | 1133448160 2005.12.01 R37-M1-N0-C:J16-U11 2005-12-01-06.42.40.072946 R37-M1-N0-C:J16-U11 RAS KERNEL INFO 10752 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.
TRUE:0 PRED:1 SOURCE:deepseek | 1131590868 2005.11.09 R63-M0-N1-C:J07-U01 2005-11-09-18.47.48.543958 R63-M0-N1-C:J07-U01 RAS KERNEL INFO iar 00113898 dear 0fee9c4c
TRUE:0 PRED:1 SOURCE:deepseek | 1132584963 2005.11.21 R26-M0-N0-I:J18-U11 2005-11-21-06.56.03.369673 R26-M0-N0-I:J18-U11 RAS KERNEL INFO MACHINE CHECK DCR read timeout (mc=e08x iar 0x00000000 lr 0xc00045a4)
TRUE:0 PRED:1 SOURCE:deepseek | 1133448674 2005.12.01 R26-M1-NF-C:J09-U01 2005-12-01-06.51.14.927478 R26-M1-NF-C:J09-U01 RAS KERNEL INFO 0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.
TRUE:0 PRED:1 SOURCE:deepseek | 1132232535 2005.11.17 R64-M1-N4-I:J18-U01 2005-11-17-05.02.15.807696 R64-M1-N4-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/followup/SPaSM_static/SPaSM.460-1115: invalid or missing program image, Permission denied
TRUE:0 PRED:1 SOURCE:deepseek | 1123030687 2005.08.02 R00-M0-N2 2005-08-02-17.58.07.084868 R00-M0-N2 NULL DISCOVERY ERROR Node card status: ALERT 0, ALERT 1, ALERT 2, ALERT 3 is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The 2.5 volt rail is OK. The 1.5 volt rail is OK.
TRUE:0 PRED:1 SOURCE:deepseek | 1127265666 2005.09.20 R54-M1-N4-I:J18-U11 2005-09-20-18.21.06.263282 R54-M1-N4-I:J18-U11 RAS APP FATAL ciod: LOGIN chdir(/bgl/apps/SWL/performance/MINIBEN///2005.09.20-18.06.01) failed: No such file or directory
TRUE:0 PRED:1 SOURCE:deepseek | 1131126144 2005.11.04 R62-M0-NB-C:J16-U11 2005-11-04-09.42.24.810298 R62-M0-NB-C:J16-U11 RAS KERNEL INFO iar 00106bd8 dear 0245cd9c
TRUE:0 PRED:1 SOURCE:deepseek | 1118773807 2005.06.14 R20-M1-N5-C:J13-U01 2005-06-14-11.30.07.879884 R20-M1-N5-C:J13-U01 RAS KERNEL FATAL core configuration register: 0x00002000
